fold,seed,policy,representation,target_budget,budget,rows,simulated_second_calls,effective_budget,call_rate,mean_score_acquired,C_D_reference,budget_semantics,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,C,D,C_minus_D,utility_lambda_0_0,utility_lambda_0_01,utility_lambda_0_05,group
0,42,hashrandom_budget,v60_rule,1.25,1.25,2000,495,1.2475,0.2475,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.002475,-0.012375,benign:Weibo
0,42,hashrandom_budget,v60_rule,1.25,1.25,2000,505,1.2525,0.2525,0.0,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.002525,-0.012625,malware:Virut
0,42,probability_only_gain_classifier,v60_rule_or_gain,1.25,1.25,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:Weibo
0,42,probability_only_gain_classifier,v60_rule_or_gain,1.25,1.25,2000,1000,1.5,0.5,3.7625172430039776e-05,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.005,-0.025,malware:Virut
0,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.25,1.25,2000,398,1.199,0.199,8.437378664364254e-06,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.00199,-0.00995,benign:Weibo
0,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.25,1.25,2000,602,1.301,0.301,1.0453364952429273e-05,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.00301,-0.015050000000000001,malware:Virut
0,42,probability_only_gain_regression,v60_rule_or_gain,1.25,1.25,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:Weibo
0,42,probability_only_gain_regression,v60_rule_or_gain,1.25,1.25,2000,1000,1.5,0.5,0.0003031443998777335,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.005,-0.025,malware:Virut
0,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.25,1.25,2000,934,1.467,0.467,0.0015978131956712637,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.00467,-0.023350000000000003,benign:Weibo
0,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.25,1.25,2000,66,1.033,0.033,0.0018836044315832363,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.00033,-0.0016500000000000002,malware:Virut
0,42,confidence_budget,v60_rule,1.5,1.5,2000,118,1.059,0.059,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.0005899999999999999,-0.0029500000000000004,benign:Weibo
0,42,confidence_budget,v60_rule,1.5,1.5,2000,1882,1.9409999999999998,0.941,0.0,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.00941,-0.04705,malware:Virut
0,42,hashrandom_budget,v60_rule,1.5,1.5,2000,1009,1.5045,0.5045,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.005045,-0.025225,benign:Weibo
0,42,hashrandom_budget,v60_rule,1.5,1.5,2000,991,1.4955,0.4955,0.0,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.004955,-0.024775000000000002,malware:Virut
0,42,probability_only_gain_classifier,v60_rule_or_gain,1.5,1.5,2000,2,1.001,0.001,-9.782741567421885e-06,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-1e-05,-5e-05,benign:Weibo
0,42,probability_only_gain_classifier,v60_rule_or_gain,1.5,1.5,2000,1998,1.999,0.999,2.815122929753935e-05,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.00999,-0.04995,malware:Virut
0,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.5,1.5,2000,398,1.199,0.199,8.437378664364254e-06,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.00199,-0.00995,benign:Weibo
0,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.5,1.5,2000,1602,1.8010000000000002,0.801,6.555041781773048e-06,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.00801,-0.04005,malware:Virut
0,42,probability_only_gain_regression,v60_rule_or_gain,1.5,1.5,2000,2,1.001,0.001,-0.0001661539021697,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-1e-05,-5e-05,benign:Weibo
0,42,probability_only_gain_regression,v60_rule_or_gain,1.5,1.5,2000,1998,1.999,0.999,0.0002872028518163683,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.00999,-0.04995,malware:Virut
0,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.5,1.5,2000,1835,1.9175,0.9175,0.0009576724419671989,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.009175,-0.045875,benign:Weibo
