fold,seed,policy,representation,target_budget,budget,rows,simulated_second_calls,effective_budget,call_rate,mean_score_acquired,C_D_reference,budget_semantics,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,C,D,C_minus_D,utility_lambda_0_0,utility_lambda_0_01,utility_lambda_0_05,mean_delta
0,42,hashrandom_budget,v60_rule,2.0,2.0,4000,4000,2.0,1.0,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
0,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
0,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.1,1.1,4000,400,1.1,0.1,1.6415334873555553e-05,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.001,-0.005000000000000001,0.0
0,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.25,1.25,4000,1000,1.25,0.25,9.651002409779397e-06,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.0025,-0.0125,0.0
0,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.5,1.5,4000,2000,1.5,0.5,6.929626821408697e-06,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.005,-0.025,0.0
0,42,post_first_temporal_gain_classifier,v60_rule_or_gain,2.0,2.0,4000,4000,2.0,1.0,-9.67301243496022e-05,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
0,42,post_first_temporal_gain_classifier_positive_stop,v60_rule_or_gain,,,4000,3888,1.972,0.972,5.0918391207464805e-06,first_temporal,positive_score_stop,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.00972,-0.048600000000000004,0.0
0,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
0,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.1,1.1,4000,400,1.1,0.1,0.0035953777774932,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.001,-0.005000000000000001,0.0
0,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.25,1.25,4000,1000,1.25,0.25,0.0016166754172414,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.0025,-0.0125,0.0
