method,prefix_packets,round,capture,root_seconds,residual_seconds,prefix_materialization_seconds,source_parse_seconds,temporal_feature_seconds,temporal_inference_seconds,stats_feature_seconds,stats_inference_seconds,fusion_seconds,coordination_seconds
fixed_low_confidence,8,0,Benign\Weibo\Weibo\Weibo-2.pcap,0.8978753,0.0023104,0.0789826,0.6956266,0.1160306,0.0047771,0.0,0.0,6.82e-05,7.98e-05
fixed_low_confidence,8,0,Benign\Weibo\Weibo\Weibo-3.pcap,0.86866,0.0025626,0.0753086,0.6776435,0.1078811,0.0051112,0.0,0.0,6.9e-05,8.4e-05
fixed_low_confidence,8,0,Benign\Weibo\Weibo\Weibo-4.pcap,0.9528701,0.0026131,0.0789491,0.6964542,0.1686917,0.0059986,0.0,0.0,7.24e-05,9.1e-05
fixed_low_confidence,8,0,Malware\Virut\Virut.pcap,0.965707,0.0019129,0.0852611,0.8355056,0.0335272,0.0094043,0.0,0.0,3.15e-05,6.44e-05
fixed_low_confidence,16,0,Benign\Weibo\Weibo\Weibo-1.pcap,0.8122361,0.002411,0.0688812,0.6328368,0.1031153,0.0048466,0.0,0.0,6.61e-05,7.91e-05
fixed_low_confidence,16,0,Benign\Weibo\Weibo\Weibo-2.pcap,0.8418324,0.0026665,0.0818402,0.6474545,0.1040309,0.0056661,0.0,0.0,8.07e-05,9.35e-05
fixed_low_confidence,16,0,Benign\Weibo\Weibo\Weibo-3.pcap,0.8937711,0.0024416,0.0719996,0.6999748,0.1139914,0.0052103,0.0,0.0,6.76e-05,8.58e-05
fixed_low_confidence,16,0,Benign\Weibo\Weibo\Weibo-4.pcap,0.8582414,0.0022292,0.0840084,0.666173,0.1012114,0.0044884,0.0,0.0,5.99e-05,7.11e-05
fixed_low_confidence,16,0,Malware\Virut\Virut.pcap,0.8612731,0.0019855,0.0859197,0.7328634,0.0310387,0.0093662,0.0,0.0,2.79e-05,7.17e-05
stats,8,1,Benign\Weibo\Weibo\Weibo-1.pcap,0.8263522,0.0022039,0.0809591,0.7317521,0.0,0.0,0.0068544,0.0045827,0.0,0.0
stats,8,1,Benign\Weibo\Weibo\Weibo-2.pcap,0.9892102,0.0024628,0.0629874,0.9112077,0.0,0.0,0.007505,0.0050473,0.0,0.0
stats,8,1,Benign\Weibo\Weibo\Weibo-3.pcap,0.7824545,0.0021455,0.0895799,0.6794402,0.0,0.0,0.0065927,0.0046962,0.0,0.0
stats,8,1,Benign\Weibo\Weibo\Weibo-4.pcap,0.7442609,0.002223,0.0630415,0.6664003,0.0,0.0,0.0079499,0.0046462,0.0,0.0
stats,8,1,Malware\Virut\Virut.pcap,0.7652216,0.002484,0.0631383,0.6856168,0.0,0.0,0.0037188,0.0102637,0.0,0.0
stats,16,1,Benign\Weibo\Weibo\Weibo-1.pcap,0.744792,0.002206,0.0609376,0.671042,0.0,0.0,0.0063948,0.0042116,0.0,0.0
stats,16,1,Benign\Weibo\Weibo\Weibo-2.pcap,0.7430869,0.0023851,0.063188,0.6633701,0.0,0.0,0.0091885,0.0049552,0.0,0.0
stats,16,1,Benign\Weibo\Weibo\Weibo-3.pcap,0.7114154,0.0022642,0.0618251,0.6360264,0.0,0.0,0.0067828,0.0045169,0.0,0.0
stats,16,1,Benign\Weibo\Weibo\Weibo-4.pcap,0.7175003,0.0020494,0.0639868,0.6415653,0.0,0.0,0.0058629,0.0040359,0.0,0.0
stats,16,1,Malware\Virut\Virut.pcap,0.8798134,0.0016838,0.0754985,0.7929089,0.0,0.0,0.0019246,0.0077976,0.0,0.0
allavg,8,1,Benign\Weibo\Weibo\Weibo-1.pcap,0.8216758,0.002457,0.0627232,0.6403458,0.1006221,0.0048099,0.0061059,0.0044979,0.000114,0.0
allavg,8,1,Benign\Weibo\Weibo\Weibo-2.pcap,0.8569674,0.002281,0.0689847,0.6680295,0.1030359,0.0047115,0.0059048,0.0039248,9.52e-05,0.0
allavg,8,1,Benign\Weibo\Weibo\Weibo-3.pcap,0.8446454,0.002571,0.0735627,0.6470061,0.1054006,0.005,0.0065562,0.0044507,9.81e-05,0.0
allavg,8,1,Benign\Weibo\Weibo\Weibo-4.pcap,0.8120348,0.0024653,0.0682733,0.6245354,0.1014453,0.0048514,0.0059233,0.0044431,9.77e-05,0.0
allavg,8,1,Malware\Virut\Virut.pcap,0.7727499,0.0019625,0.0843184,0.639631,0.0301339,0.0077072,0.001856,0.0071035,3.74e-05,0.0
