method,n,benign,malicious,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,C_vs_Temporal,D_vs_Temporal,net_corrections,second_expert_rows,wall_s,cold_suite_load_s,throughput_seg_s,batch_mean_ms,batch_p50_ms,batch_p95_ms,python_peak_bytes,child_peak_bytes,combined_peak_upper_bytes,parser_output_bookkeeping_remainder_s,prediction_sha256
temporal,625523,309887,315636,0.9720210280025658,0.9954061006982727,0.05173821425229196,293854,16033,1450,314186,0,0,0,0,223.17346309998538,0.1536025000095833,2802.855641128602,45.46006035116375,26.43515,68.60177499999982,422924288,687702016,1104461824,116.21688109998539,fef3741bf2a626f6bb8ec718ee3f164e8a2f842cedbfdbb506dcc905e34c72b7
strong_single,625523,309887,315636,0.972105611181736,0.9956183705280767,0.051783392010636135,293840,16047,1383,314253,91,38,53,0,218.22942459999467,0.15771649999078363,2866.3549892346427,44.454085912617394,26.121000000000002,64.26187,418902016,686886912,1105788928,112.96699529999468,2675c4ab4a29ab7ec15287a35c15248c819d8732d0a9b121fc6b571b9bde6761
equal_average,625523,309887,315636,0.9635463943315887,0.989890253329785,0.06319400297527808,290304,19583,3191,312445,2434,7725,-5291,625523,261.9575326000049,0.15222069999435917,2387.879416146204,53.37139487545937,30.322499999999998,103.25558999999998,422653952,687796224,1105690624,125.01884460000491,10bc221f246e7d497796946dcecbcc28f3eba1d3dfa9366127de0afd4db0b5b9
fixed,625523,309887,315636,0.9706710074688274,0.9901500462558137,0.049121131251068935,294665,15222,3109,312527,2748,3596,-848,33832,313.9323971999984,0.17676709999796003,1992.540450043119,63.96446496529197,37.834599999999995,84.34893499999998,422309888,687976448,1104322560,149.8968838999984,15212611b03a45e8da065350a260bdf219a7543cf851adf40e9a76e27208a83d
logistic_05,625523,309887,315636,0.9736155188213669,0.9957229213397711,0.04885006470100391,294749,15138,1350,314286,2371,1376,995,33832,291.33907469999394,0.19038329998147674,2147.061806399061,59.353089771335235,36.4555,98.31356,422490112,687853568,1104678912,148.37432989999394,2aaef59aaf83fc3ccc44872dc4a4fc4ff3fcc0ff78339b5fc1ae8125dab4c4df
hgb_05,625523,309887,315636,0.9691368312369317,0.9927289662776109,0.05482643673338991,292897,16990,2295,313341,689,2491,-1802,33832,411.8436281000031,0.22680020000552759,1518.8361730537972,83.89191712944059,53.799,139.0841149999997,422871040,687828992,1108602880,202.99707500000312,f959d8a9f07e2d8d37a5beddfceb28d1b5fe321df7202c3834b1b39ef4940caa
logistic_dev,625523,309887,315636,0.9713017769306125,0.9958908362797653,0.05367763087835243,293253,16634,1297,314339,876,1324,-448,33832,388.3128187000111,0.3305337999772746,1610.8739394545826,79.11312394855042,51.00145,99.80084499999998,422719488,687837184,1108398080,188.86864070001113,75be5d635c480069ff0dfa4426b4169e139847795ae884a5bdd0d4cf2e647971
hgb_dev,625523,309887,315636,0.971283345352373,0.9962931984944683,0.0541229544963164,293115,16772,1170,314466,942,1401,-459,33832,283.6826141999918,0.2616481000150088,2205.009995991563,57.79278340138833,36.0707,81.0307449999999,422907904,687390720,1110298624,137.0261634999918,f97e0f9ef0d89a400288504340ed5420a8693f090b0d3df160cc28618a219a45
