reference_method,reference_macro_f1,mad_etd_macro_f1,delta,delta_percentage_points,same_acceptance_rows,reference_selected_on_acceptance
temporal_single,0.9275480217690761,0.9490777356432796,0.021529713874203438,2.1529713874203438,True,False
stats_single,0.8829737853504362,0.9490777356432796,0.06610395029284333,6.610395029284333,True,False
simple_probability_average,0.9282914121313094,0.9490777356432796,0.020786323511970184,2.0786323511970184,True,False
fixed_70_stats_30_temporal,0.8873714609120533,0.9490777356432796,0.06170627473122625,6.170627473122625,True,False
fixed_30_stats_70_temporal,0.9294758115897482,0.9490777356432796,0.01960192405353134,1.9601924053531339,True,False
max_reliability_margin_selector,0.9278972376166418,0.9490777356432796,0.021180498026637795,2.1180498026637795,True,False
