iteration,sample_bootstrap_macro_f1_delta,grouped_bootstrap_macro_f1_delta
0,0.02922587230780671,0.00440457174319886
1,0.03285666669733367,0.0037352834327195605
2,0.02966909595458822,0.03402322769085153
3,0.027450690537627276,0.03689449839850223
4,0.03164488000337673,0.0553797586787419
5,0.03341097109116564,0.008277720847350789
6,0.03369507136279659,0.004384069705199334
7,0.031893083355353236,0.027425421246911497
8,0.030350216666613306,0.004939128286245653
9,0.030621100568652082,0.02994899909304194
10,0.027992239823558362,0.0045130755894434715
11,0.033048212958728285,0.030226058295688807
12,0.031292399231604096,0.06431705019592582
13,0.03214292828727294,0.02713640304926035
14,0.031186688482074953,0.027466604495735125
15,0.03240418631849451,0.0041769241439106874
16,0.029300281281993024,0.004667336400301703
17,0.030821093682068867,0.006864804390859569
18,0.03403068681984489,0.030811738049758675
19,0.030073709537368765,0.03192435419631767
20,0.032482686786986514,0.034332766480828836
21,0.035017506277105426,0.0005159738155748883
22,0.0315734025972072,0.028386764827070365
23,0.03396498963923378,0.05688264040480906
24,0.028373308171582012,0.05356321405982156
25,0.033392333302917465,0.0004331039649454471
26,0.033433330189479804,0.025319740980034755
27,0.02994938924070145,0.0574390439887732
28,0.026667281295107426,0.034235573528800134
29,0.031653920697406246,0.07181046126073987
30,0.03317754261246031,0.027520622812624795
31,0.02904541155502416,0.05708220174437195
32,0.029284212472197146,0.03468481767819287
33,0.03110464094422194,0.03420099020378986
34,0.03103796348331811,0.028024142577567912
35,0.03271023084159064,0.0005741795767955082
36,0.027923573110689714,0.08054090297495775
37,0.029813972040085956,0.05644924450241817
38,0.03138498388482436,0.030855652315891047
39,0.031592863425442985,0.010423137953459172
40,0.02991985023854471,0.03669590121700206
41,0.031966629557780735,0.0005939975669270181
42,0.030366541346595666,0.035799983523331136
43,0.035110024492469916,0.08713411934375093
44,0.032450246723484066,0.11874451305711553
45,0.03288198212886817,0.049304549165197775
46,0.0326928845309159,0.02664586252673251
47,0.031165213546602955,0.07164863259292309
48,0.03057044714476398,0.011122750236110868
49,0.030458367540704856,0.10354830564514184
50,0.02790774538152241,0.026973345767242862
51,0.03248278867809873,0.05396266200174793
52,0.03275097435040375,0.0073004689822629976
53,0.03000289057265726,0.004000226309423871
54,0.03521289925876081,0.005206227743369096
55,0.032046201426022436,0.06813400174008843
56,0.030995983832082574,0.004325027834622963
57,0.031246261668304354,0.12005895540115974
58,0.03295895278819827,0.034014287107644314
59,0.030719649749146427,0.0045280487096539535
60,0.033045540209165836,0.001100002549004997
61,0.033767688909828175,0.0669806330300482
62,0.03287175660326558,0.034482497611621254
63,0.029789101883374913,0.007354297053402181
64,0.031753515778496944,0.0008018706760815064
65,0.03241721162743849,0.05425264694669196
66,0.03182787495126471,0.0003231555089491245
67,0.029267807882721986,0.02741999802542372
68,0.030929616336249577,0.010122762022601428
69,0.03173577501053604,0.02958169003580957
70,0.0313982410284348,0.02848982020629831
71,0.03211286618804754,0.0358435136689087
72,0.031952326856811375,0.027539463145076715
73,0.031499599427000424,0.027718070794447103
74,0.03132381208537294,0.007030216599407613
75,0.03296508607830062,0.029835323394008406
76,0.031375941096559834,0.032178567966533955
77,0.030246170938281303,0.05746378636502292
78,0.0318326820627195,0.007621502362045618
79,0.03421538988377726,0.08276080950195852
80,0.02953432674610068,0.08245328195665436
81,0.029551834112908848,0.037902064188263695
82,0.03426447173451885,0.05471987351614582
83,0.03281516466866663,0.004281115017705672
84,0.03305823152136789,0.0304589228120018
85,0.029120902128339732,0.030692108759098446
86,0.029278352369440208,0.009749409101678763
87,0.03524656517031266,0.03322163054248595
88,0.030368947628764742,0.004513099584515401
89,0.03273293267083188,0.00041417514431418834
90,0.02888854195607804,0.0327475606763985
91,0.029538812180907592,0.03160814418063551
92,0.03300501937667255,0.03828973188185203
93,0.031152854042066913,0.007464245230146216
94,0.03236274630194691,0.03024989829471214
95,0.03144543659285981,0.032603037997009254
96,0.028617756725216936,0.004193531835041231
97,0.03267800834996937,0.003844217080296586
98,0.030164066344373408,0.11610895809774913
99,0.031238265485205474,0.0103074091570875
100,0.031859226370663296,0.0018638982633720769
101,0.0317491164799365,0.0009462280557153147
102,0.03142949538163253,0.02884653052132169
103,0.030032996682368474,0.027696114704876318
104,0.02692915223221637,0.08393858880536176
105,0.033180094490099954,0.030466769655203674
106,0.030774246085632395,0.033172881329246784
107,0.032335268096647996,0.06335859615483208
108,0.029660032840651218,0.033715382329560395
109,0.03137406075776328,0.08304099671959941
110,0.03095403657774287,0.00010331781955708053
111,0.030776546961477358,0.03280343794874363
112,0.03058302906549304,0.027893878907402803
113,0.033300123172229634,0.003472383773676868
114,0.03347935787262235,0.05811103457777489
115,0.028251300151405645,0.00627134398715945
116,0.0311492423864137,0.030545966083895038
117,0.029578078562879417,0.03071466821640767
118,0.03319570503921698,0.0037730486464233604
