mode,accuracy,macro_f1,weighted_f1,macro_precision,malicious_recall,coverage,selective_error,avg_evidence_calls
temporal_strongest_single,0.9131,0.9124869104234847,0.9124869104234847,0.9250099518791202,0.9968,1.0,0.08689999999999998,1.0
static_stats_temporal_full_call,0.9258,0.9254532652454401,0.9254532652454404,0.9338721744507696,0.994,1.0,0.07420000000000004,2.0
v6_fixed_competence_rule,0.9284,0.9280867458649878,0.9280867458649878,0.9359968083893765,0.9944,1.0,0.0716,1.0496
v6_1_group_robust_meta_policy,0.9265,0.9261349522863449,0.9261349522863449,0.9351012379073991,0.9968,1.0,0.07350000000000001,1.0496
