iteration,sample_bootstrap_macro_f1_delta,grouped_bootstrap_macro_f1_delta
0,0.013791617685139368,0.0
1,0.015084369658619812,0.0
2,0.013190558073137293,0.014997493014154872
3,0.011727091021848546,0.013357395751173118
4,0.015698344241167117,0.026025762297457566
5,0.016179886420817913,0.0
6,0.015040073015850641,0.0
7,0.01393194178304158,0.013356144544686477
8,0.013769426994612477,0.0
9,0.012395700378783792,0.013368295910713646
10,0.013621368515523091,0.0
11,0.014915836475834165,0.013422177107761835
12,0.012564261935513632,0.03064776096432753
13,0.013811912843449847,0.013405087232758905
14,0.013636932608959262,0.01338875757047453
15,0.013948853643522052,0.0
16,0.014131067618312065,0.0
17,0.014008336280190492,0.0
18,0.014023649208555367,0.013740845451031047
19,0.013745319024022318,0.01382840466636448
20,0.015659646844925046,0.014998632723080552
21,0.016011663131346388,0.0
22,0.013737248887475517,0.013566708862620791
23,0.01443522210437942,0.026824520967799526
24,0.013042894782930747,0.02671585466427151
25,0.014950149136438329,0.0
26,0.01507439725337778,0.0
27,0.013744452369949922,0.028173671668425437
28,0.01260777399049029,0.01463126696637751
29,0.012563799707470569,0.035044697957659854
30,0.0140351871942489,0.013353009592995568
31,0.011891284758422827,0.026788482785418344
32,0.013251828847581804,0.013669874881284128
33,0.014073269591112103,0.013671955962615168
34,0.012500586121944934,0.013777247861621822
35,0.015171026822563105,0.0
36,0.013088925125637862,0.03699955351036044
37,0.012714098359367765,0.02620671383764861
38,0.013231377145985768,0.013412105395253837
39,0.014296074515226187,0.0
40,0.013613718476118475,0.016100676456521246
41,0.014085256970984505,0.0
42,0.012151351547515898,0.015625028512043726
43,0.01591121451425548,0.04050508506395423
44,0.014063399167529411,0.055211462521386645
45,0.013521235303400325,0.021398155282619458
46,0.014291064361194317,0.01321872018887238
47,0.012926545044547932,0.03337765000450099
48,0.011988867708979667,0.0
49,0.01517100907068536,0.04867250489801633
50,0.01257340821462094,0.01324235850046196
51,0.012611090203388908,0.02671238039431023
52,0.012640953935695975,0.0
53,0.012838453000119321,0.0
54,0.015760176271615745,0.0
55,0.013968248586846754,0.02725379339514644
56,0.012934974808063271,0.0
57,0.01591501689373831,0.0585773892784992
58,0.013717706345215408,0.013321754826493892
59,0.01342042872576521,0.0
60,0.013622397424978505,0.0
61,0.014810241587192907,0.03292172527001014
62,0.013650050072206987,0.015211054111351485
63,0.014013764719330024,0.0
64,0.014242761492967548,0.0
65,0.013014780645886015,0.02703019191152778
66,0.013849900198995901,0.0
67,0.012688128036816737,0.01341755194522165
68,0.01227368043624677,0.0
69,0.013149245604332727,0.01271497676627975
70,0.01538229173329042,0.014195009916825874
71,0.01477219776604799,0.013764771634444006
72,0.013822571377852033,0.013454430260682937
73,0.013446538872181169,0.013628597376376783
74,0.015289687929799567,0.0
75,0.014429616552601332,0.013248781433281454
76,0.013277720060506315,0.015546622220624973
77,0.013109606398908236,0.025388090050994183
78,0.012833210013514673,0.0
79,0.015116843971223815,0.040985621251938165
80,0.013277057207344956,0.04097941336329103
81,0.012116867033318046,0.016382274264903463
82,0.013645838332562277,0.02696736399331323
83,0.014148836013504695,0.0
84,0.012594339082832029,0.013374657415556879
