mode,accuracy,macro_f1,weighted_f1,macro_precision,malicious_recall,coverage,selective_error,avg_evidence_calls
temporal_strongest_single,0.9272,0.9268834315807091,0.926883431580709,0.9347288781601493,0.993,1.0,0.07279999999999998,1.0
static_stats_temporal_full_call,0.9282,0.9279028414675061,0.927902841467506,0.9353778836006552,0.9924,1.0,0.07179999999999997,2.0
v6_fixed_competence_rule,0.9038,0.9030388589209752,0.9030388589209754,0.9168902883518004,0.9924,1.0,0.09619999999999995,1.0721
v6_1_group_robust_meta_policy,0.9272,0.9268834315807091,0.926883431580709,0.9347288781601493,0.993,1.0,0.07279999999999998,1.0721
