target_coverage,accepted_count,realized_coverage,selective_error,covered_macro_f1,all_sample_malicious_recall_with_abstention,minimum_ranking_score,terminal_state_count,nonterminal_state_count
0.23366666666666666,1402,0.23366666666666666,0.0,1.0,0.12217194570135746,0.7498855784585721,1386,16
0.5,3000,0.5,0.0,1.0,0.4130575307045895,0.695106593885386,1388,1612
0.8,4800,0.8,0.0,1.0,0.6561085972850679,0.41808017165941846,1402,3398
0.9,5400,0.9,0.0,1.0,0.8500323206205559,0.41808017165941846,1402,3998
0.95,5700,0.95,0.0,1.0,0.9463477698771816,0.41807453043585496,1402,4298
1.0,6000,1.0,0.006666666666666667,0.9933292745675035,0.9870717517776342,0.0,1402,4598
