fold_id,condition,arbiter,candidate,low,high,same_selection_pattern_as_selected,best_rank_tuple,selected,outer_same_as_selected,outer_errors,outer_fp,outer_fn
1,source_concentrated,hgb,3,0.25,1.01,True,True,False,False,286,86,200
1,source_concentrated,hgb,5,0.5,0.5,True,True,False,True,316,85,231
1,source_concentrated,hgb,6,0.5,0.75,True,True,False,True,316,85,231
1,source_concentrated,hgb,7,0.5,1.01,True,True,False,False,286,86,200
1,source_concentrated,hgb,9,0.75,0.5,True,True,False,True,316,85,231
1,source_concentrated,hgb,10,0.75,0.75,True,True,False,True,316,85,231
1,source_concentrated,hgb,11,0.75,1.01,True,True,False,False,286,86,200
1,source_concentrated,hgb,13,1.01,0.5,False,False,False,False,313,82,231
1,source_concentrated,hgb,14,1.01,0.75,False,False,False,False,313,82,231
1,source_concentrated,hgb,15,1.01,1.01,False,False,False,False,283,83,200
2,row100,logistic,0,0.25,0.25,True,True,True,True,2366,2360,6
2,row100,logistic,1,0.25,0.5,True,True,False,True,2366,2360,6
2,row100,logistic,2,0.25,0.75,True,True,False,True,2366,2360,6
2,row100,logistic,3,0.25,1.01,True,True,False,True,2366,2360,6
2,row100,logistic,4,0.5,0.25,True,True,False,True,2366,2360,6
2,row100,logistic,5,0.5,0.5,True,True,False,True,2366,2360,6
2,row100,logistic,6,0.5,0.75,True,True,False,True,2366,2360,6
2,row100,logistic,7,0.5,1.01,True,True,False,True,2366,2360,6
2,row100,logistic,8,0.75,0.25,True,True,False,True,2366,2360,6
2,row100,logistic,9,0.75,0.5,True,True,False,True,2366,2360,6
2,row100,logistic,10,0.75,0.75,True,True,False,True,2366,2360,6
2,row100,logistic,11,0.75,1.01,True,True,False,True,2366,2360,6
2,row100,logistic,12,1.01,0.25,True,True,False,True,2366,2360,6
2,row100,logistic,13,1.01,0.5,True,True,False,True,2366,2360,6
2,row100,logistic,14,1.01,0.75,True,True,False,True,2366,2360,6
2,row100,logistic,15,1.01,1.01,True,True,False,True,2366,2360,6
2,row100,hgb,0,0.25,0.25,True,True,True,True,2362,2360,2
2,row100,hgb,1,0.25,0.5,True,True,False,True,2362,2360,2
2,row100,hgb,2,0.25,0.75,True,True,False,True,2362,2360,2
2,row100,hgb,3,0.25,1.01,True,True,False,False,2361,2360,1
2,row100,hgb,4,0.5,0.25,True,True,False,False,2363,2360,3
2,row100,hgb,5,0.5,0.5,True,True,False,False,2363,2360,3
2,row100,hgb,6,0.5,0.75,True,True,False,False,2363,2360,3
2,row100,hgb,7,0.5,1.01,True,True,False,False,2362,2360,2
2,row100,hgb,8,0.75,0.25,True,True,False,False,2367,2360,7
2,row100,hgb,9,0.75,0.5,True,True,False,False,2367,2360,7
2,row100,hgb,10,0.75,0.75,True,True,False,False,2367,2360,7
2,row100,hgb,11,0.75,1.01,True,True,False,False,2366,2360,6
2,row100,hgb,12,1.01,0.25,True,True,False,False,2367,2360,7
2,row100,hgb,13,1.01,0.5,True,True,False,False,2367,2360,7
