config,display_name,score_definition,selected_n,benign_n,malicious_n,malicious_share,accuracy,macro_f1,selective_error,jaccard_vs_full
probability_average,概率平均,confidence*(1-uncertainty),1402,1402,0,0.0,1.0,0.5,0.0,0.07721859393008068
yager_no_reliability_ood_off,Yager，无可靠性/OOD,confidence*(1-uncertainty),1402,1402,0,0.0,1.0,0.5,0.0,0.15485996705107083
reliability_yager_ood_off,可靠性+Yager，OOD关闭,confidence*(1-uncertainty),1402,982,420,0.2995720399429387,1.0,1.0,0.0,0.8958755916159568
ood_yager_no_reliability,OOD+Yager，无可靠性,confidence*(1-uncertainty),1402,1027,375,0.2674750356633381,1.0,1.0,0.0,0.9746478873239437
full_fusion,完整Fusion,confidence*(1-uncertainty),1402,1024,378,0.26961483594864477,1.0,1.0,0.0,1.0
