method,macro_f1,malicious_recall,false_positive_rate
stats,0.8963074545209837,0.9921000000000001,0.1654
temporal,0.8970831635781071,0.9916,0.1654
probability_average,0.8995079524663854,0.9984999999999999,0.1654
oof_weighted_average,0.8970831635781071,0.9916,0.1654
feature_concatenation,0.8969331581311465,0.9913000000000001,0.1654
