config,sample_count,full_macro_f1,selective_macro_f1,coverage,selective_error,all_sample_malicious_recall,suspicious_count,suspicious_rate,unknown_count,unknown_rate,conflict_escalation_count,conflict_escalation_rate
probability_average,6000,1.0,1.0,1.0,0.0,1.0,0,0.0,0,0.0,0,0.0
yager_no_reliability_ood_off,6000,0.9989011237663349,1.0,0.9978333333333333,0.0,0.9987071751777634,3,0.0005,10,0.0016666666666666668,0,0.0
reliability_yager_ood_off,6000,0.9989011237663349,1.0,0.9978333333333333,0.0,0.9987071751777634,3,0.0005,10,0.0016666666666666668,0,0.0
ood_yager_no_reliability,6000,0.37479497709921883,1.0,0.237,0.0,0.129928894634777,2655,0.4425,1923,0.3205,0,0.0
full_fusion,6000,0.3699043611657198,1.0,0.23366666666666666,0.0,0.1244343891402715,2669,0.44483333333333336,1929,0.3215,0,0.0
