config,target_coverage_count,target_coverage,matched_macro_f1,matched_selective_error,matched_all_sample_malicious_recall,ranking
probability_average,1402,0.23366666666666666,0.5,0.0,0.0,confidence_times_one_minus_uncertainty; ties resolved by sample_id; no labels used
yager_no_reliability_ood_off,1402,0.23366666666666666,0.5,0.0,0.0,confidence_times_one_minus_uncertainty; ties resolved by sample_id; no labels used
reliability_yager_ood_off,1402,0.23366666666666666,1.0,0.0,0.13574660633484162,confidence_times_one_minus_uncertainty; ties resolved by sample_id; no labels used
ood_yager_no_reliability,1402,0.23366666666666666,1.0,0.0,0.12120232708468003,confidence_times_one_minus_uncertainty; ties resolved by sample_id; no labels used
full_fusion,1402,0.23366666666666666,1.0,0.0,0.12217194570135746,confidence_times_one_minus_uncertainty; ties resolved by sample_id; no labels used
