configuration,model_family,view,accuracy,macro_f1,weighted_f1,malicious_recall,ece,coverage,selective_error
hgb_stats,hgb,stats,0.848525,0.8458852821763954,0.8458852821763954,0.9794,0.14964850413420633,1.0,0.15147500000000003
hgb_hybrid,hgb,hybrid,0.9275,0.9271404334855282,0.927140433485528,0.99775,0.0740405117091063,1.0,0.07250000000000001
tree_stats,tree,stats,0.885675,0.8843377564410235,0.8843377564410235,0.9932,0.05763872805061922,1.0,0.11432500000000001
tree_hybrid,tree,hybrid,0.894525,0.8933801005260251,0.8933801005260251,0.99815,0.07114404157336941,1.0,0.10547499999999999
