method,n,tn,fp,fn,tp,macro_f1,malicious_recall,false_positive_rate,C,D,switches,policy_calls
Temporal,40000,17399,2601,256,19744,0.9283286734898359,0.9872,0.13005,0,0,0,1.0
Fixed,40000,17450,2550,282,19718,0.9289716516732478,0.9859,0.1275,131,106,237,1.103525
Fixed-Dev16,40000,17372,2628,228,19772,0.9283420313127257,0.9886,0.1314,53,52,105,1.103525
Logistic-0.5,40000,17451,2549,239,19761,0.9300667683014583,0.98805,0.12745,107,38,145,1.103525
HGB-0.5,40000,17371,2629,259,19741,0.9275456444564673,0.98705,0.13145,40,71,111,1.103525
Logistic-Dev16,40000,17374,2626,234,19766,0.928243395512087,0.9883,0.1313,30,33,63,1.103525
Logistic-Global4,40000,17377,2623,234,19766,0.9283193095563352,0.9883,0.13115,30,30,60,1.103525
HGB-Dev16,40000,17374,2626,227,19773,0.9284175177666676,0.98865,0.1313,44,40,84,1.103525
HGB-Global4,40000,17377,2623,227,19773,0.9284934337251401,0.98865,0.13115,44,37,81,1.103525
