scenario,bundle,method,n,benign,malicious,tn,fp,fn,tp,corrected,introduced,switches,net_corrected,macro_f1,malicious_recall,false_positive_rate
ALL_qualified_author_flows,3,HGB-Dev16,1159418,465990,693428,0,465990,0,693428,15,18,33,-3,0.3742502075185957,1.0,1.0
ALL_qualified_author_flows,3,Logistic-Global4,1159418,465990,693428,3,465987,0,693428,18,18,36,0,0.3742572513445559,1.0,0.9999935620936071
ALL_qualified_author_flows,3,HGB-Global4,1159418,465990,693428,0,465990,0,693428,15,18,33,-3,0.3742502075185957,1.0,1.0
ALL_qualified_author_flows,4,Temporal,1159418,465990,693428,13675,452315,0,693428,0,0,0,0,0.40554239377337675,1.0,0.9706538766926329
ALL_qualified_author_flows,4,Stats,1159418,465990,693428,1361,464629,132,693296,41,12487,12528,-12446,0.37739205342899224,0.999809641375889,0.9970793364664478
ALL_qualified_author_flows,4,Equal,1159418,465990,693428,4666,461324,112,693316,0,9121,9121,-9121,0.3850686550064261,0.9998384835916635,0.9899869095903345
ALL_qualified_author_flows,4,Fixed,1159418,465990,693428,13669,452321,0,693428,0,6,6,-6,0.40552901150340087,1.0,0.9706667525054186
ALL_qualified_author_flows,4,Fixed-Dev16,1159418,465990,693428,13669,452321,0,693428,0,6,6,-6,0.40552901150340087,1.0,0.9706667525054186
ALL_qualified_author_flows,4,Logistic-0.5,1159418,465990,693428,13675,452315,0,693428,0,0,0,0,0.40554239377337675,1.0,0.9706538766926329
ALL_qualified_author_flows,4,HGB-0.5,1159418,465990,693428,13673,452317,0,693428,0,2,2,-2,0.4055379330496064,1.0,0.9706581686302281
ALL_qualified_author_flows,4,Logistic-Dev16,1159418,465990,693428,13675,452315,0,693428,0,0,0,0,0.40554239377337675,1.0,0.9706538766926329
ALL_qualified_author_flows,4,HGB-Dev16,1159418,465990,693428,13673,452317,0,693428,0,2,2,-2,0.4055379330496064,1.0,0.9706581686302281
ALL_qualified_author_flows,4,Logistic-Global4,1159418,465990,693428,13675,452315,0,693428,0,0,0,0,0.40554239377337675,1.0,0.9706538766926329
ALL_qualified_author_flows,4,HGB-Global4,1159418,465990,693428,13673,452317,0,693428,0,2,2,-2,0.4055379330496064,1.0,0.9706581686302281
