mode,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,malicious_recall,ece,brier_score,coverage,selective_error,source_mode
factorial_hgb_plus_temporal,0.916475,0.9280511302257264,0.916475,0.9159064476446446,0.9159064476446445,0.9987,0.10526845244799016,0.09129782720286489,1.0,0.08352499999999996,
factorial_tree_plus_temporal,0.93955,0.9453273249047273,0.9395500000000001,0.9393533044206106,0.9393533044206106,0.9965,0.08594789861995024,0.06740644632762689,1.0,0.060450000000000004,
fixed_weight_ensemble,0.885575,0.8998505036665809,0.885575,0.8845444989669826,0.8845444989669826,0.98005,0.08838139619100528,0.07545665456271954,1.0,0.114425,
full_mad_etd_fusion,0.926725,0.9346165776726267,0.926725,0.9263908593570511,0.9263908593570511,0.9941,0.06989508540435595,0.0668036757283798,1.0,0.07327499999999998,
reliability_only_fusion,0.944275,0.9489968767771187,0.944275,0.9441281057711657,0.9441281057711656,0.99555,0.0868632492688937,0.06730085147877943,1.0,0.055725000000000025,
reliability_plus_ood_fusion,0.944275,0.9489968767771187,0.944275,0.9441281057711657,0.9441281057711656,0.99555,0.0868632492688937,0.06730085147877943,1.0,0.055725000000000025,
simple_probability_average,0.944,0.9491228024744967,0.944,0.9438398559797175,0.9438398559797175,0.9974,0.087145283828115,0.06752796826020371,1.0,0.05600000000000005,
stats_hgb_only,0.84705,0.8704044486785665,0.8470500000000001,0.8446004678663854,0.8446004678663854,0.9726,0.15225555264237972,0.1493386223794345,1.0,0.15295000000000003,
stats_tree_only,0.862325,0.8774140131909075,0.862325,0.860935045694804,0.860935045694804,0.9623,0.09870748354896806,0.09755051447312565,1.0,0.137675,
strongest_single_agent,0.923375,0.9329416344492858,0.9233750000000001,0.9229493564012218,0.9229493564012217,0.9977,0.07572254991920789,0.07378131262738671,1.0,0.07662500000000005,temporal_only
temporal_only,0.923375,0.9329416344492858,0.9233750000000001,0.9229493564012218,0.9229493564012217,0.9977,0.07572254991920789,0.07378131262738671,1.0,0.07662500000000005,
validation_selected_single_agent,0.9281,0.9320820683418384,0.9280999999999999,0.9279339598434794,0.9279339598434794,0.9761,0.05842211306110417,0.049704652877936954,1.0,0.07189999999999996,
