model,perturbation,sample_count,exact_stability,perturbed_coverage,perturbed_wrong_binary_rate,harmful_flip_rate,unknown_fallback_rate
hgb,record_padding,172,0.6046511627906976,0.9825581395348837,0.37790697674418605,0.37790697674418605,0.01744186046511628
hgb,sequence_truncation,172,1.0,1.0,0.0,0.0,0.0
hgb,record_drop,172,0.9069767441860465,0.9651162790697675,0.05813953488372093,0.05813953488372093,0.03488372093023256
hgb,length_jitter,172,0.9709302325581395,0.9941860465116279,0.023255813953488372,0.023255813953488372,0.005813953488372093
records_only,record_padding,172,0.9127906976744186,0.9244186046511628,0.01744186046511628,0.01744186046511628,0.0755813953488372
records_only,sequence_truncation,172,0.9941860465116279,0.9883720930232558,0.011627906976744186,0.0,0.011627906976744186
records_only,record_drop,172,0.8604651162790697,0.877906976744186,0.029069767441860465,0.023255813953488372,0.12209302325581395
records_only,length_jitter,172,1.0,0.9941860465116279,0.011627906976744186,0.0,0.005813953488372093
