schema_version,candidate,candidate_type,warning_percentile,hard_percentile,warning_threshold,hard_threshold,macro_f1,coverage,minimum_class_coverage,selective_error_rate,benign_false_positive_rate,ood_auroc,feasible
2.0,min,rule,0.99,0.999,0.9990737953550837,0.9990969504712066,0.9771747232241315,0.7846824133747223,0.7667777817218423,0.02275981308598888,0.024608811542197368,0.5146176899317768,True
2.0,weighted_mean_stats_025,weighted_mean,0.99,0.999,0.9990737953550837,0.9990969504712066,0.9771746820483169,0.7846808376534359,0.7667777817218423,0.02275985879007675,0.024608811542197368,0.5058932334512998,True
2.0,temporal_only,rule,0.99,0.999,0.9990737953550837,0.9990969504712066,0.9771746408721885,0.7846792619321494,0.7667777817218423,0.022759904494348178,0.024608811542197368,0.49409461010636285,True
2.0,min,rule,0.95,0.99,0.9986106930326255,0.9990737953550837,0.9771745996957462,0.784677686210863,0.7667777817218423,0.022759950198803166,0.024608811542197368,0.5146176899317768,True
2.0,min,rule,0.95,0.995,0.9986106930326255,0.9990737953550837,0.9771745996957462,0.784677686210863,0.7667777817218423,0.022759950198803166,0.024608811542197368,0.5146176899317768,True
2.0,min,rule,0.95,0.999,0.9986106930326255,0.9990969504712066,0.9771745996957462,0.784677686210863,0.7667777817218423,0.022759950198803166,0.024608811542197368,0.5146176899317768,True
2.0,min,rule,0.975,0.99,0.9986106930326255,0.9990737953550837,0.9771745996957462,0.784677686210863,0.7667777817218423,0.022759950198803166,0.024608811542197368,0.5146176899317768,True
2.0,min,rule,0.975,0.995,0.9986106930326255,0.9990737953550837,0.9771745996957462,0.784677686210863,0.7667777817218423,0.022759950198803166,0.024608811542197368,0.5146176899317768,True
2.0,min,rule,0.975,0.999,0.9986106930326255,0.9990969504712066,0.9771745996957462,0.784677686210863,0.7667777817218423,0.022759950198803166,0.024608811542197368,0.5146176899317768,True
2.0,mean,rule,0.99,0.999,0.9990737953550837,0.9990969504712066,0.9771744761645356,0.7846729590470037,0.7667777817218423,0.02276008731326949,0.024608811542197368,0.5144481575575965,True
2.0,weighted_mean_stats_050,weighted_mean,0.99,0.999,0.9990737953550837,0.9990969504712066,0.9771744761645356,0.7846729590470037,0.7667777817218423,0.02276008731326949,0.024608811542197368,0.5144481575575965,True
2.0,temporal_only,rule,0.95,0.99,0.9986106930326255,0.9990737953550837,0.9771743526304993,0.7846682318831445,0.7667777817218423,0.02276022442938788,0.024608811542197368,0.49409461010636285,True
2.0,temporal_only,rule,0.95,0.995,0.9986106930326255,0.9990737953550837,0.9771743526304993,0.7846682318831445,0.7667777817218423,0.02276022442938788,0.024608811542197368,0.49409461010636285,True
2.0,temporal_only,rule,0.95,0.999,0.9986106930326255,0.9990969504712066,0.9771743526304993,0.7846682318831445,0.7667777817218423,0.02276022442938788,0.024608811542197368,0.49409461010636285,True
2.0,temporal_only,rule,0.975,0.99,0.9986106930326255,0.9990737953550837,0.9771743526304993,0.7846682318831445,0.7667777817218423,0.02276022442938788,0.024608811542197368,0.49409461010636285,True
