mode,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,malicious_recall,ece,brier_score,coverage,selective_error,source_mode
factorial_hgb_plus_temporal,0.856575,0.8877982092575505,0.856575,0.8536287642950626,0.8536287642950627,0.99845,0.11873098812680596,0.10360999557331847,1.0,0.14342500000000002,
factorial_tree_plus_temporal,0.94415,0.9490822887405288,0.94415,0.9439962270804685,0.9439962270804685,0.99655,0.09677181580978061,0.07212371556455928,1.0,0.055849999999999955,
fixed_weight_ensemble,0.876875,0.8873111860858214,0.876875,0.8760399673346815,0.8760399673346814,0.95895,0.09412681514441691,0.07592286250521252,1.0,0.12312500000000004,
full_mad_etd_fusion,0.914025,0.9256339631034286,0.9140250000000001,0.913434743490906,0.9134347434909061,0.9966,0.07909511316792747,0.07386792290803015,1.0,0.08597500000000002,
reliability_only_fusion,0.944675,0.9494947535683489,0.9446749999999999,0.9445262943763488,0.9445262943763489,0.99645,0.09609904684434026,0.07211735684635522,1.0,0.05532499999999996,
reliability_plus_ood_fusion,0.944675,0.9494947535683489,0.9446749999999999,0.9445262943763488,0.9445262943763489,0.99645,0.09609904684434026,0.07211735684635522,1.0,0.05532499999999996,
simple_probability_average,0.945275,0.9502245537618332,0.9452750000000001,0.9451241803605219,0.9451241803605218,0.9977,0.09822384996087723,0.07159380314881945,1.0,0.054725000000000024,
stats_hgb_only,0.843175,0.869021098428465,0.843175,0.8403800700914319,0.8403800700914319,0.9755,0.15348965950814553,0.152882244028508,1.0,0.156825,
stats_tree_only,0.86325,0.8788144595559695,0.8632500000000001,0.8618307499889282,0.8618307499889281,0.9646,0.09884331938789552,0.09556412585829861,1.0,0.13675000000000004,
strongest_single_agent,0.9065,0.9202212708440217,0.9065000000000001,0.9057304662479643,0.9057304662479643,0.99685,0.09441392494356744,0.09000212364841761,1.0,0.09350000000000003,temporal_only
temporal_only,0.9065,0.9202212708440217,0.9065000000000001,0.9057304662479643,0.9057304662479643,0.99685,0.09441392494356744,0.09000212364841761,1.0,0.09350000000000003,
validation_selected_single_agent,0.9163,0.9185859859724526,0.9163,0.9161855679463811,0.916185567946381,0.95325,0.06076298520838067,0.05388590916096756,1.0,0.0837,
