model,target_coverage,accepted_count,realized_coverage,selective_macro_f1,selective_error,accepted_subset_malicious_recall,all_sample_malicious_recall_with_abstention,minimum_accepted_confidence
hgb,0.9218,18436,0.9218,0.9977754382749624,0.0007593838142764157,0.9997005450080853,0.9496501109404335,0.990077052603591
candidate,0.9218,18436,0.9218,0.9986412707801557,0.0004881753091776958,0.9995782878486655,0.9439608579393526,0.99409632428379
hgb,0.9374,18748,0.9374,0.997649172765363,0.0008000853424365266,0.9997056226081837,0.9660351595835467,0.9872075320720528
candidate,0.9374,18748,0.9374,0.9985303317944514,0.0005333902282910177,0.9995847668762605,0.9586960232121522,0.9901750976639484
