mode,accuracy,macro_f1,weighted_f1,macro_precision,malicious_recall,coverage,selective_error,avg_evidence_calls
temporal_strongest_single,0.93,0.9296767352034526,0.9296767352034527,0.9380546688966842,0.9978,1.0,0.06999999999999995,1.0
static_stats_temporal_full_call,0.9297,0.9293743869674185,0.9293743869674185,0.9377732568035995,0.9976,1.0,0.07030000000000003,2.0
v6_fixed_competence_rule,0.9313,0.9309929954274272,0.9309929954274272,0.9391142845984284,0.998,1.0,0.06869999999999998,1.0482
v6_1_group_robust_meta_policy,0.93,0.9296767352034526,0.9296767352034527,0.9380546688966842,0.9978,1.0,0.06999999999999995,1.0482
