schema_version,strategy,category,sample_count,benign_rate,malicious_rate,suspicious_rate,unknown_rate,alert_rate,average_risk_score,average_agent_calls
1.0,off,Advertising,54173,0.00749450833441013,0.21824525132446052,0.7294962435161427,0.044763996824986614,0.9477414948406032,0.955945194649205,2.9237812194266515
1.0,off,Analytics & Telemetry,44194,0.0003394125899443363,0.599017966239761,0.29110286464225915,0.10953975652803548,0.8901208308820202,0.9216711790237231,2.8751414219124767
1.0,off,Antivirus,41044,0.0003654614559984407,0.5496053016275216,0.4130932657635708,0.03693597115290907,0.9626985673910925,0.9651255527483572,2.9278579085859078
1.0,off,Authentication services,27690,7.222824124232574e-05,0.13499458288190683,0.8354279523293607,0.029505236547490068,0.9704225352112676,0.9790648686211846,2.959841097869267
1.0,off,File sharing,34029,0.0007640541890740251,0.23241940697640248,0.7097181815510301,0.05709835728349349,0.9421375885274325,0.9462837154140661,2.9075788298216225
1.0,off,Games,11282,8.863676653075696e-05,0.4141109732316965,0.5357206169118951,0.05007977308987768,0.9498315901435915,0.9623500026934335,2.9277610352774333
1.0,off,Information Systems,8034,0.008339556883246203,0.2555389594224546,0.6633059497137167,0.07281553398058252,0.9188449091361712,0.9412931510578542,2.888722927557879
1.0,off,Instant messaging,8121,0.0003694126339120798,0.17842630217953453,0.7920206871074991,0.029183598079054303,0.9704469892870337,0.971879949750158,2.9381849525920454
1.0,off,Internet Banking,1758,0.005688282138794084,0.1222980659840728,0.8065984072810012,0.06541524459613197,0.928896473265074,0.944985387353465,2.8771331058020477
1.0,off,Mail,20074,0.0002490784098834313,0.1667829032579456,0.7235229650293913,0.10944505330277972,0.8903058682873368,0.9106709189386379,2.858224569094351
1.0,off,Music,16846,0.0026712572717559066,0.1039415885076576,0.8421583758755787,0.05122877834500772,0.9460999643832364,0.9595089650148103,2.9172503858482726
1.0,off,Notification services,9629,0.0009346764980787206,0.438051718766227,0.42995118911621144,0.1310624156194828,0.8680029078824385,0.9413246167846144,2.8503479073631737
1.0,off,Other services and APIs,61839,0.0011481427578065623,0.25927003994243114,0.6690114652565533,0.07057035204320898,0.9282815051989844,0.94625631896108,2.901712511521855
1.0,off,Remote Desktop,1020,0.0,0.2235294117647059,0.7480392156862745,0.028431372549019607,0.9715686274509804,0.950041172223076,2.73921568627451
