schema_version,strategy,application,sample_count,benign_rate,malicious_rate,suspicious_rate,unknown_rate,alert_rate,average_risk_score,average_agent_calls
1.0,off,3dsecure,173,0.06936416184971098,0.05202312138728324,0.8786127167630058,0.0,0.930635838150289,0.9282330223622086,2.9248554913294798
1.0,off,accuweather,2303,0.0,0.37646547980894485,0.6235345201910552,0.0,1.0,0.9816196895458822,2.996526270082501
1.0,off,adobe-ads,1325,0.0,0.15622641509433963,0.7984905660377358,0.045283018867924525,0.9547169811320755,0.9758535188093913,2.9471698113207547
1.0,off,adobe-analytics,356,0.0,0.6151685393258427,0.3848314606741573,0.0,1.0,0.9994707102213433,3.0
1.0,off,adobe-authentication,1029,0.0,0.5587949465500486,0.4412050534499514,0.0,1.0,0.9995022545912601,3.0
1.0,off,adobe-cloud,831,0.0,0.15403128760529483,0.8459687123947052,0.0,1.0,0.9983960053392351,2.996389891696751
1.0,off,adobe-notifications,823,0.0,0.07897934386391252,0.9210206561360875,0.0,1.0,0.999893796419918,3.0
1.0,off,adobe-search,16,0.0,0.0625,0.9375,0.0,1.0,0.9999480004500162,3.0
1.0,off,adobe-updater,579,0.0,0.0535405872193437,0.927461139896373,0.018998272884283247,0.9810017271157168,0.9905122280123502,2.9810017271157165
1.0,off,airbank-ib,384,0.010416666666666666,0.22395833333333334,0.7421875,0.0234375,0.9661458333333334,0.975238326995819,2.9505208333333335
1.0,off,alza-bnr,889,0.0,0.24746906636670415,0.6827896512935883,0.06974128233970754,0.9302587176602924,0.9611905670087016,2.9178852643419573
1.0,off,alza-cdn,631,0.0,0.07290015847860538,0.8890649762282092,0.03803486529318542,0.9619651347068146,0.968108240588821,2.936608557844691
1.0,off,alza-logapi,388,0.01288659793814433,0.211340206185567,0.6623711340206185,0.1134020618556701,0.8737113402061856,0.9089210247896052,2.847938144329897
1.0,off,alza-signalr,565,0.0017699115044247787,0.21238938053097345,0.6619469026548672,0.12389380530973451,0.8743362831858407,0.8862301835062679,2.7380530973451327
1.0,off,alza-webapi,483,0.002070393374741201,0.2443064182194617,0.7142857142857143,0.039337474120082816,0.9585921325051759,0.9767853921154059,2.9420289855072466
1.0,off,amazon-advertising,2228,0.0,0.3653500897666068,0.6306104129263914,0.004039497307001795,0.9959605026929982,0.9907608852860535,2.975314183123878
1.0,off,amazon-alexa,148,0.0,0.08108108108108109,0.918918918918919,0.0,1.0,0.9941703221425523,2.9864864864864864
1.0,off,amazon-prime,469,0.0,0.06183368869936034,0.9040511727078892,0.03411513859275053,0.9658848614072495,0.9661334334719964,2.9424307036247335
1.0,off,apple-authentication,1,0.0,1.0,0.0,0.0,1.0,0.9998593172278221,3.0
1.0,off,apple-icloud,594,0.0,0.14814814814814814,0.8400673400673401,0.011784511784511785,0.9882154882154882,0.9820727732782862,2.974747474747475
1.0,off,apple-itunes,8877,0.0,0.008561450940633097,0.9896361383350231,0.00180241072434381,0.9981975892756562,0.9948697613115215,2.984341556832263
1.0,off,apple-location,2928,0.0,0.14241803278688525,0.8254781420765027,0.03210382513661202,0.967896174863388,0.9652114016571857,2.950478142076503
1.0,off,apple-ocsp,467,0.0,0.1670235546038544,0.8329764453961456,0.0,1.0,0.9763883059452368,2.982869379014989
1.0,off,apple-pancake,729,0.0,0.06858710562414266,0.8930041152263375,0.038408779149519894,0.9615912208504801,0.9558924766799248,2.880658436213992
1.0,off,apple-siri,5,0.0,0.2,0.8,0.0,1.0,0.9998477203061439,3.0
1.0,off,apple-updates,2586,0.0,0.02165506573859242,0.9752513534416086,0.0030935808197989174,0.9969064191802011,0.9967623831905477,2.9953596287703017
1.0,off,apple-weather,1660,0.0,0.05120481927710843,0.9475903614457831,0.0012048192771084338,0.9987951807228915,0.9901512443976607,2.991566265060241
1.0,off,appnexus,14551,0.023915882069960828,0.11861727716308157,0.8231736650402034,0.03429317572675417,0.941790942203285,0.9379889567406542,2.9173252697409113
1.0,off,aukro-backend,383,0.0,0.5744125326370757,0.38642297650130547,0.0391644908616188,0.9608355091383812,0.9721103204813466,2.93733681462141
1.0,off,autodesk,5425,0.0,0.8527188940092166,0.14728110599078342,0.0,1.0,0.9959526780151146,2.9931797235023043
1.0,off,avast,5624,0.001600284495021337,0.5033783783783784,0.42425320056899,0.07076813655761025,0.9276315789473685,0.9480131521825533,2.829302987197724
1.0,off,bing,5936,0.0006738544474393531,0.025774932614555258,0.9095350404312669,0.06401617250673855,0.9353099730458221,0.9387837097635773,2.8957210242587603
1.0,off,bitdefender-gravityzone,3923,0.0,0.6714249299005863,0.32806525618149374,0.0005098139179199592,0.9994901860820801,0.9975328853392301,2.99949018608208
1.0,off,bitdefender-nimbus,961,0.0,0.5452653485952134,0.39021852237252863,0.06451612903225806,0.9354838709677419,0.9533524577568745,2.9302809573361084
1.0,off,booking-com,610,0.011475409836065573,0.1737704918032787,0.7885245901639344,0.02622950819672131,0.9622950819672131,0.964659397899119,2.959016393442623
1.0,off,cesnet-filesender,331,0.0,0.07250755287009064,0.18731117824773413,0.7401812688821753,0.2598187311178248,0.38899402638921776,2.211480362537764
1.0,off,cesnet-gerrit,263,0.0,0.46387832699619774,0.532319391634981,0.0038022813688212928,0.9961977186311787,0.9952620132784392,2.9923954372623576
1.0,off,cesnet-kalendar,361,0.0,0.008310249307479225,0.9916897506925207,0.0,1.0,0.9995187607112889,3.0
1.0,off,cesnet-login,153,0.013071895424836602,0.0392156862745098,0.7973856209150327,0.1503267973856209,0.8366013071895425,0.9140675592256565,2.8366013071895426
1.0,off,cesnet-nerd,371,0.0,0.02425876010781671,0.9757412398921833,0.0,1.0,0.999513657781232,3.0
1.0,off,cesnet-perun,53,0.0,0.0,1.0,0.0,1.0,0.9963136632278448,2.981132075471698
1.0,off,chmi,2622,0.0015255530129672007,0.2299771167048055,0.6426392067124332,0.12585812356979406,0.8726163234172387,0.90278604526323,2.719679633867277
1.0,off,chrome-remotedesktop,563,0.0,0.11545293072824156,0.8454706927175843,0.03907637655417407,0.9609236234458259,0.9418154963656643,2.609236234458259
1.0,off,csas-ib,1,0.0,0.0,1.0,0.0,1.0,0.9998118783812595,3.0
1.0,off,csas-webchat,481,0.002079002079002079,0.22661122661122662,0.7650727650727651,0.006237006237006237,0.9916839916839917,0.9920283659594041,2.991683991683992
1.0,off,ctu-felmail,445,0.0,0.0651685393258427,0.9325842696629213,0.0022471910112359553,0.9977528089887641,0.9990761653667463,2.995505617977528
1.0,off,ctu-idp2,507,0.0,0.14398422090729784,0.8461538461538461,0.009861932938856016,0.9901380670611439,0.9930719801649964,2.9861932938856017
1.0,off,ctu-kos,320,0.009375,0.096875,0.878125,0.015625,0.975,0.9805584339758691,2.965625
1.0,off,ctu-kosapi,31,0.0,0.03225806451612903,0.967741935483871,0.0,1.0,0.9772663029033295,2.967741935483871
1.0,off,ctu-matrix,413,0.0,0.01937046004842615,0.9806295399515739,0.0,1.0,0.9773613380244651,2.9661016949152543
1.0,off,datova-schranka,618,0.0016181229773462784,0.01779935275080906,0.3042071197411003,0.6763754045307443,0.3220064724919094,0.5188574060549006,2.27831715210356
1.0,off,discord,2692,0.0,0.20765230312035662,0.7592867756315007,0.033060921248142645,0.9669390787518574,0.9673668792947502,2.9093610698365526
1.0,off,dns-doh,1657,0.0006035003017501509,0.42365721182860594,0.5624622812311406,0.013277006638503319,0.9861194930597466,0.9815693646658726,2.9450814725407364
1.0,off,docker-auth,1249,0.0,0.018414731785428344,0.9815852682145717,0.0,1.0,0.9995602650166303,3.0
1.0,off,docker-registry,1655,0.0,0.4501510574018127,0.5498489425981873,0.0,1.0,0.9997693805494038,3.0
1.0,off,dopravniinfo-api,1391,0.004313443565780014,0.12940330697340044,0.8289000718907261,0.037383177570093455,0.9583033788641265,0.9646677929721319,2.9511143062544933
1.0,off,dropbox,6786,0.0004420866489832007,0.36236368994989687,0.6125847332743884,0.024609490126731505,0.9749484232242853,0.9768832586158056,2.9406130268199235
