heldout_group,model_id,artifact,artifact_hash,training_seconds
benign:Weibo,stats_extra_trees,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/benign_Weibo__stats_extra_trees.joblib,95cc7617a0da0f6b959210e6d80f8525d7133e2d4ae925a4a39f232f029e4ede,0.31269590003648773
benign:Weibo,temporal_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/benign_Weibo__temporal_hgb.joblib,329af4dd5d8b2d06509a045eb3a7e0c980dac187ac46f87319ecaaa9bc62c9e6,0.8734212999697775
benign:WorldOfWarcraft,stats_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/benign_WorldOfWarcraft__stats_hgb.joblib,507584b170c43bf7753bce4c8f7dfc2a9ef1347d85d612d98b872ab95a6e3094,0.7182922000065446
benign:WorldOfWarcraft,stats_extra_trees,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/benign_WorldOfWarcraft__stats_extra_trees.joblib,fdfa6ee54614c9e3dbe3f170b6a5605e6161f07470ed02cf8054339b50df3afc,0.30949240003246814
benign:WorldOfWarcraft,temporal_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/benign_WorldOfWarcraft__temporal_hgb.joblib,36e54a7eff4dae9b2a2c1d63d8926f8ea94619969a0492ce23e1d593800a622a,1.0150132999988273
malware:Cridex,stats_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Cridex__stats_hgb.joblib,525e7bf65bb04eb25477f8b2852786d514002868617d34614df5ee00d6c6eee9,0.801608599955216
malware:Cridex,stats_extra_trees,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Cridex__stats_extra_trees.joblib,22e1dea394760020469626ac593723481f9eb6e31920802f1510d5152ff1d203,0.2970221000141464
malware:Cridex,temporal_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Cridex__temporal_hgb.joblib,508e0847f1a6b87f7ed33d717c00a59bfcf6b9e2ed6a9960df7b752d380244a0,0.8619105000398122
malware:Geodo,stats_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Geodo__stats_hgb.joblib,1a9bf511e5d9d9eaa22c785a6100b624da27b3886854a76a53266e3f5e6ded44,0.9227304999949411
malware:Geodo,stats_extra_trees,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Geodo__stats_extra_trees.joblib,64b04eff8c01d5a2e220383c32ffbd7c16ad02a67a933505f4df16bed3215c11,0.3280328999971971
malware:Geodo,temporal_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Geodo__temporal_hgb.joblib,5461fd1e8bbfc79a8373b6c9fb5e2508cf94644add84844f9a70e7cb378cd869,1.0088911000057124
malware:Htbot,stats_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Htbot__stats_hgb.joblib,8ce6559c90a6ed56d9260e6cae2f5d87685e93059dea99611394c1157f3cfbb3,0.8042655999888666
malware:Htbot,stats_extra_trees,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Htbot__stats_extra_trees.joblib,f84a6e932eba04fac3c2131b5058e37f32f8df7d9f359f435646560c47998c65,0.3501320999930613
malware:Htbot,temporal_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Htbot__temporal_hgb.joblib,875ac87315a4356647e012759d9827d2ac4088cd43ffb0088aada98158f399be,0.9793839000049047
malware:Miuref,stats_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Miuref__stats_hgb.joblib,8a2980418faafaedda68ae2330da48184bab1747a9e94b16d2ab238199ca9e9e,0.8612534999847412
malware:Miuref,stats_extra_trees,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Miuref__stats_extra_trees.joblib,4be6bae8334164376c87c40d9be2b5ecab24e792a9d1719943f4425a66b63ec7,0.33264360000612214
malware:Miuref,temporal_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Miuref__temporal_hgb.joblib,7684aedb6163ab8758388ea8c88c66216b63d31c785afb770d97d452275bbca9,0.9217384000075981
malware:Neris,stats_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Neris__stats_hgb.joblib,88768842a930f90b145cdb49ac19c9f4fb52397f2bc883e5bc01ac69583519c5,0.843714100017678
malware:Neris,stats_extra_trees,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Neris__stats_extra_trees.joblib,a329de02cffca4ed8e4003a961eaefeb7785e15109dc8dcd286ef081a36c5a9e,0.3596702999784611
malware:Neris,temporal_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Neris__temporal_hgb.joblib,120a48e031d2805f69926dfdebe8635002b2a002cadd38d716e0a3cb02f3e181,0.9117395000066608
malware:Nsis-ay,stats_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Nsis-ay__stats_hgb.joblib,d7b40b7c51f95510f078e4bc7cf5f1310ffb9a2ca3c09e0f1add34eb1753c00e,0.6591185000143014
malware:Nsis-ay,stats_extra_trees,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Nsis-ay__stats_extra_trees.joblib,9fae26a2676629844de860e1d2ef71bbb86217b30077fce10a4cb591e033a2fe,0.2869057999923825
malware:Nsis-ay,temporal_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Nsis-ay__temporal_hgb.joblib,ec58734014e7343989d901f76fa5b3b8eb59448fc453b2bee43424bcb676e29e,0.6986199999810196
malware:Shifu,stats_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Shifu__stats_hgb.joblib,9d1a29eaf54cf90451181fe87fd1fd80107078faf9cf718b8b0ae15fb996de48,0.7876868000021204
malware:Shifu,stats_extra_trees,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Shifu__stats_extra_trees.joblib,961b7ddd41e16792c8879f25512e5995f1f128744e868b00660ee7421b4ed69a,0.3083209000178613
malware:Shifu,temporal_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Shifu__temporal_hgb.joblib,6a131059b1f61b4c01272986a7b0bd670be79070b4b82612b0441ff05d495068,0.7779944000067189
malware:Tinba,stats_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Tinba__stats_hgb.joblib,41d19a996f2bb749995d519c6fea72eb4ebda54b8c3e92360e33266dd81b6658,0.7352091000066139
malware:Tinba,stats_extra_trees,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Tinba__stats_extra_trees.joblib,58619a8bbca985868ca1af553fe1b066eac7943a8691552c0543ead700f75570,0.3099720000172965
malware:Tinba,temporal_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Tinba__temporal_hgb.joblib,5eb03f0de64c2cbddcc4ee8231fe88baa924a1771cc7389c50917651965b8ae3,0.9508643000153825
malware:Virut,stats_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Virut__stats_hgb.joblib,b918b9e44e95cab50d51cf8b60b9e5361c3548fbfdda87a05f7ada7ee5215a46,0.8457796999718994
malware:Virut,stats_extra_trees,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Virut__stats_extra_trees.joblib,1a83d5e1734b5e26fc49a0e8d51d77815a4b6f398e23d8eab9336893d5e4d344,0.2904213999863714
malware:Virut,temporal_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Virut__temporal_hgb.joblib,b1ea7773f6c01eef3340e308db52e1db85a2b19f1cd577c2d9f2513be205777d,1.0361038999981247
malware:Zeus,stats_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Zeus__stats_hgb.joblib,8af183cae34266f3f85e529400c765b0d80410a70cfdfb1765aa9d06dd1afdc0,0.656778700009454
malware:Zeus,stats_extra_trees,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Zeus__stats_extra_trees.joblib,3c36527d7d5f097feb6742e1fc41761ae2471f58e168961afc2a470a65b1cabe,0.30258519999915734
malware:Zeus,temporal_hgb,data/runs/mad_etd_hybrid_multiagent_evidence_v1/model_artifacts/malware_Zeus__temporal_hgb.joblib,2d8010eb0991832ee6d1405a92e29333a3cceb26d10d4e5fb669391822e4e807,0.7921609000186436
