mode,accepted_count,accepted_benign,accepted_malicious,benign_class_coverage,malicious_class_coverage,accepted_malicious_proportion,selective_error,macro_f1,jaccard_with_full
full_fusion,34054,15285,18769,0.76425,0.93845,0.5511540494508721,0.056058025488929346,0.9425064559874078,1.0
stats_only,34054,15806,18248,0.7903,0.9124,0.5358548188171727,0.0770834556880249,0.92131189036796,0.8504591642666957
temporal_only,34054,14760,19294,0.738,0.9647,0.5665707405884771,0.0334762436130851,0.965584426360653,0.893150989548588
