dataset,model_id,strategy,candidate_runtime,threshold,accept_confidence,accuracy,macro_f1,selective_macro_f1,weighted_f1,precision_malicious,recall_malicious,ece,coverage,selective_error,training_seconds,inference_seconds,p95_latency_ms,avg_agent_calls,unsupported_calls,blocked_field_violation,fusion_ownership_violation,fake_metric,test_used_for_selection,promoted_general_runtime_created,reference_role,default_enabled
NF-BoT-IoT/NF-ToN-IoT,hgb_reference,default_0_5,runtime_safe_v3_0,0.5,0.0,0.98775,0.9719951990169469,0.9719951990169469,0.9879106882574766,0.9973599632690542,0.9886783865278489,0.0020195996476424483,1.0,0.012249999999999983,6.081883299979381,0.020184400025755167,0.0010092200012877582,1.0,0,0,0,False,False,False,safe-input hgb reference,True
NF-BoT-IoT/NF-ToN-IoT,random_forest_reference,class_wise_selective_threshold,runtime_nf_iot_calibrated_v5_12,0.49,0.9901750976639484,0.999466609771709,0.9985303317944514,0.9985303317944514,0.9994668600464958,0.9998220007119971,0.9995847668762605,0.00022197847087812583,0.9374,0.0005333902282910197,1.6643266000319272,0.10748040000908077,0.005374020000454039,1.0,0,0,0,False,False,False,default-off NF-IoT optional profile,False
