dataset,model_id,strategy,candidate_runtime,threshold,accept_confidence,accuracy,macro_f1,selective_macro_f1,weighted_f1,precision_malicious,recall_malicious,ece,coverage,selective_error,training_seconds,inference_seconds,p95_latency_ms,avg_agent_calls,unsupported_calls,blocked_field_violation,fusion_ownership_violation,fake_metric,test_used_for_selection,promoted_general_runtime_created
NF-BoT-IoT/NF-ToN-IoT,hgb_reference,default_0_5,,0.5,0.0,0.98775,0.9719951990169469,0.9719951990169469,0.9879106882574766,0.9973599632690542,0.9886783865278489,0.0020195996476424483,1.0,0.012249999999999983,6.081883299979381,0.020184400025755167,0.0010092200012877582,1.0,0,0,0,False,False,False
NF-BoT-IoT/NF-ToN-IoT,random_forest_reference,default_0_5,,0.5,0.0,0.9881,0.9728,0.9728,0.9882570799999999,0.9975893933306549,0.9888490641178813,0.007164779183912536,1.0,0.011900000000000022,1.6643266000319272,0.10748040000908077,0.005374020000454039,1.0,0,0,0,False,False,False
NF-BoT-IoT/NF-ToN-IoT,extra_trees_reference,default_0_5,,0.5,0.0,0.988,0.9726464155315842,0.9726464155315842,0.9881741930966118,0.9979893146435342,0.9883370313477841,0.00769682231234091,1.0,0.01200000000000001,1.3561073000309989,0.16327979997731745,0.008163989998865874,1.0,0,0,0,False,False,False
