feature_name,mutual_information,single_feature_auc,permutation_importance,tree_importance_half_1,tree_importance_half_2,rank_stability_proxy,missingness_rate,shortcut_suspect,eligible,combined_score
PROTOCOL,0.0903835691059734,0.6899950973027481,-4.9503426434882594e-05,0.014085320218171068,0.0,0.9859146797818289,0.0,True,False,0.24677518803004975
L7_PROTO,0.2571598869371282,0.7942676855626806,0.0068841803016426615,0.14382154396335137,0.0,0.8561784560366487,0.0,False,False,1.849438763145629
IN_BYTES,0.6072569143582467,0.8281142797957656,-4.950029952603963e-05,0.043438902902604805,0.0,0.9565610970973952,0.0,True,False,1.302033351231954
IN_PKTS,0.3991511632850515,0.8252962105536321,0.0001981155842512905,0.019213873421301285,0.0,0.9807861265786987,0.0,False,True,0.8031556686342971
OUT_BYTES,0.35541972692849244,0.87813068377119,0.0001981155842512905,0.012625303033877622,0.0,0.9873746969661223,0.0,True,False,0.685330215867552
OUT_PKTS,0.30705941422560934,0.878563674740894,0.0,0.011595299625382204,0.0,0.9884047003746178,0.0,False,True,0.5862727548523092
TCP_FLAGS,0.3489076993055724,0.832860932986417,9.90844398893298e-05,0.043801021529680094,0.0,0.9561989784703199,0.0,False,True,0.8852456334357075
CLIENT_TCP_FLAGS,0.30983350961293415,0.8139401779881128,0.008126073400202504,0.04979121876270284,0.0,0.9502087812372971,0.0,False,True,1.359222947901869
SERVER_TCP_FLAGS,0.33626377222449777,0.8085012855708754,0.016161532680495184,0.011823067825028444,0.0,0.9881769321749716,0.0,False,True,1.6359487020547958
FLOW_DURATION_MILLISECONDS,0.29183896925727293,0.7490400473253979,0.0,0.016924228274783893,0.0,0.9830757717252161,0.0,False,True,0.598260862353307
DURATION_IN,0.4103807750979078,0.8605509857750643,1.038245844853236e-09,0.048380140177423384,0.0,0.9516198598225766,0.0,False,True,1.0121844633751578
DURATION_OUT,0.14190378108634993,0.6941684080774142,1.0139195660840982e-08,0.006326261277452102,0.0,0.9936737387225479,0.0,False,True,0.27766748518199375
MIN_TTL,0.37567681596338054,0.8345284333677063,9.905779212564525e-05,0.08048218774200175,0.0,0.9195178122579982,0.0,False,False,1.1843724074954332
