fold,seed,policy,target_budget,budget,budget_semantics,rows,second_calls,simulated_second_calls,effective_budget,mean_predicted_delta_acquired,C,D,C_D_reference,C_D_is_applicable,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,corrected_C,introduced_D,C_minus_D,scope
0,42,all_average,1.5,1.5,repeated_reference_panel,4000,4000,4000,2.0,4.250813143408702e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,confidence_budget,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,0.00022536455276078943,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,hashrandom_budget,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,6.435858548440695e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,probability_only_gain,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,0.00028674949506241054,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,post_first_temporal_gain,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,0.0009486055461790536,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,first_temporal,2.0,2.0,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,first_stats,2.0,2.0,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,all_average,2.0,2.0,repeated_reference_panel,4000,4000,4000,2.0,4.250813143408702e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,confidence_budget,2.0,2.0,matched_budget_panel,4000,4000,4000,2.0,4.250813143408702e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,hashrandom_budget,2.0,2.0,matched_budget_panel,4000,4000,4000,2.0,4.250813143408702e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,probability_only_gain,2.0,2.0,matched_budget_panel,4000,4000,4000,2.0,4.250813143408702e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,post_first_temporal_gain,2.0,2.0,matched_budget_panel,4000,4000,4000,2.0,0.00032625153990616584,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,positive_gain_no_call,,,unbounded_positive_gain,4000,1998,1998,1.4995,0.0002872028518163967,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,post_first_temporal_positive_gain_no_call,,,unbounded_positive_gain,4000,3876,3876,1.9689999999999999,0.0005475886354095509,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,first_temporal,1.0,1.0,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,first_stats,1.0,1.0,repeated_reference_panel,4000,0,0,1.0,0.0,2,45,first_temporal,True,0.9867476733884093,0.9735,0.0,2000,0,53,1947,2,45,-43,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,all_average,1.0,1.0,repeated_reference_panel,4000,4000,4000,2.0,0.0007750454478301969,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,confidence_budget,1.0,1.0,matched_budget_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,hashrandom_budget,1.0,1.0,matched_budget_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,probability_only_gain,1.0,1.0,matched_budget_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,post_first_temporal_gain,1.0,1.0,matched_budget_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,first_temporal,1.1,1.1,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,first_stats,1.1,1.1,repeated_reference_panel,4000,0,0,1.0,0.0,2,45,first_temporal,True,0.9867476733884093,0.9735,0.0,2000,0,53,1947,2,45,-43,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,all_average,1.1,1.1,repeated_reference_panel,4000,4000,4000,2.0,0.0007750454478301969,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,confidence_budget,1.1,1.1,matched_budget_panel,4000,400,400,1.1,0.009610334970461489,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,hashrandom_budget,1.1,1.1,matched_budget_panel,4000,400,400,1.1,0.0009027828211721067,0,0,first_temporal,True,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,probability_only_gain,1.1,1.1,matched_budget_panel,4000,400,400,1.1,0.02713231885783123,2,2,first_temporal,True,0.9974999843749024,0.995,0.0,2000,0,10,1990,2,2,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,post_first_temporal_gain,1.1,1.1,matched_budget_panel,4000,400,400,1.1,0.10271477100541379,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,first_temporal,1.25,1.25,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9974999843749024,0.995,0.0,2000,0,10,1990,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,first_stats,1.25,1.25,repeated_reference_panel,4000,0,0,1.0,0.0,2,45,first_temporal,True,0.9867476733884093,0.9735,0.0,2000,0,53,1947,2,45,-43,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,all_average,1.25,1.25,repeated_reference_panel,4000,4000,4000,2.0,0.0007750454478301969,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
1,42,confidence_budget,1.25,1.25,matched_budget_panel,4000,1000,1000,1.25,0.003757465574130099,2,4,first_temporal,True,0.996999972999757,0.994,0.0,2000,0,12,1988,2,4,-2,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
