mode,accuracy,macro_f1,weighted_f1,macro_precision,malicious_recall,coverage,selective_error,avg_evidence_calls
temporal_strongest_single,0.9242,0.9237826337021531,0.923782633702153,0.9336997595328066,0.9982,1.0,0.07579999999999998,1.0
static_stats_temporal_full_call,0.9285,0.9281569631492145,0.9281569631492145,0.9368433764899928,0.9976,1.0,0.07150000000000001,2.0
v6_fixed_competence_rule,0.9295,0.9292054770860472,0.9292054770860472,0.9367682606250617,0.994,1.0,0.07050000000000001,1.0582
v6_1_group_robust_meta_policy,0.9242,0.9237826337021531,0.923782633702153,0.9336997595328066,0.9982,1.0,0.07579999999999998,1.0582
