seed,sample_count,reference_macro_f1,full_fusion_macro_f1,macro_f1_delta,grouped_ci95_lower,grouped_ci95_upper,malicious_recall_delta,worst_group_class_f1_delta,promotion_status,acceptance_used_for_selection
42,40000,0.9283399793261593,0.9251008347582247,-0.0032391445679346154,-0.014847781595571024,0.0023134616260155694,-0.008449999999999958,-0.04461397755916929,not_promoted_independent_multiagent_performance_gate_failed,False
43,40000,0.924966409527105,0.9270627973641357,0.0020963878370307,-0.006021821457559506,0.011420999015619031,-0.004049999999999998,-0.022505824352129666,not_promoted_independent_multiagent_performance_gate_failed,False
44,40000,0.9229493564012218,0.9263908593570511,0.0034415029558293453,-0.004587101618832487,0.013180146563491368,-0.0036000000000000476,-0.020752320288749293,not_promoted_independent_multiagent_performance_gate_failed,False
