figure,source_data,source_data_sha256,caption_boundary
figure_p95_latency_bootstrap_w325,latency_bootstrap_table_w325.csv,8af2b1d606e1d4a0c27bc67f5221e93743b14ba6491ca8f95b812a1521d70a87,production end-to-end latency reduction
figure_call_semantics_w325,call_semantics_table_w325.csv,8391fc8dd355a781daaadb48bd1139e06615e2c98184e1aca1aab6da50d6b3b9,three-to-one executed detector inference
