dataset,sample_count,repetitions,repeated_run_median_p95_reduction_percent,sample_median_bootstrap_point_percent,bootstrap_ci_lower_95_percent,bootstrap_ci_upper_95_percent
USTC-TFC2016,4000,7,15.502496356991003,18.172706992984377,17.551807379655354,18.687485599396513
NF-IoT,4000,7,12.171316320328396,13.73231268847135,13.20001225884523,14.370047100573318
CICIoT2023,4000,7,11.858438315183973,13.56808456028502,13.021308089512967,14.162357733707138
