model,diagnostic_type,diagnostic_value,sample_count,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,malicious_recall,coverage,selective_error,ece
hgb,tool,dnscat2,33,0.9696969696969697,0.49230769230769234,0.9846153846153846,0.5,0.48484848484848486,0.9696969696969697,1.0,0.030303030303030304,0.03013048777087709
hgb,tool,iodine,31,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.0,5.087485088839383e-05
hgb,resolver,quad9,2156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.852452875395087e-06
records_only,tool,dnscat2,33,0.9696969696969697,0.49230769230769234,0.9846153846153846,0.5,0.48484848484848486,0.9696969696969697,0.9696969696969697,0.0,0.02784603111671684
records_only,tool,iodine,31,0.967741935483871,0.4918032786885246,0.9836065573770492,0.5,0.4838709677419355,0.967741935483871,1.0,0.03225806451612903,0.03992369275299769
records_only,resolver,quad9,2156,0.9967532467532467,0.9991812865497076,0.9983739652160705,1.0,0.998365249883232,1.0,0.9967532467532467,0.0,0.0012468433517664993
records_handshake,tool,dnscat2,33,0.9696969696969697,0.49230769230769234,0.9846153846153846,0.5,0.48484848484848486,0.9696969696969697,0.9696969696969697,0.0,0.0327341123060747
records_handshake,tool,iodine,31,0.967741935483871,0.4918032786885246,0.9836065573770492,0.5,0.4838709677419355,0.967741935483871,1.0,0.03225806451612903,0.03239026166979344
records_handshake,resolver,quad9,2156,0.9981447124304267,0.9995324918186068,0.9990714888530958,1.0,0.9990658570761326,1.0,0.9981447124304267,0.0,0.001808204794820895
