fold,group,method,coverage_target,accepted_rows,total_rows,coverage,accepted_error_count,accepted_error,malicious_correct_detected,malicious_missed,malicious_refused,normal_refused,base_pavg_malicious_correct_full,base_pavg_malicious_missed_full
1,__ALL__,risk_pavg,1.0,4000,4000,1.0,12,0.003,1988,12,0,0,1988,12
1,__ALL__,risk_disagreement,0.5,2000,4000,0.5,0,0.0,875,1125,1125,875,1988,12
1,__ALL__,risk_disagreement,0.7,2800,4000,0.7,0,0.0,1521,479,479,721,1988,12
1,__ALL__,risk_disagreement,0.8,3200,4000,0.8,0,0.0,1633,367,367,433,1988,12
1,__ALL__,risk_disagreement,0.9,3600,4000,0.9,4,0.0011111111111111111,1759,241,237,163,1988,12
1,__ALL__,risk_disagreement,0.95,3800,4000,0.95,4,0.0010526315789473684,1810,190,186,14,1988,12
1,__ALL__,risk_disagreement,1.0,4000,4000,1.0,12,0.003,1988,12,0,0,1988,12
1,__ALL__,risk_hgb,0.5,2000,4000,0.5,4,0.002,197,1803,1799,201,1988,12
1,__ALL__,risk_hgb,0.7,2800,4000,0.7,4,0.0014285714285714286,810,1190,1186,14,1988,12
1,__ALL__,risk_hgb,0.8,3200,4000,0.8,4,0.00125,1210,790,786,14,1988,12
1,__ALL__,risk_hgb,0.9,3600,4000,0.9,4,0.0011111111111111111,1610,390,386,14,1988,12
1,__ALL__,risk_hgb,0.95,3800,4000,0.95,4,0.0010526315789473684,1810,190,186,14,1988,12
1,__ALL__,risk_hgb,1.0,4000,4000,1.0,12,0.003,1988,12,0,0,1988,12
1,benign:MySQL,risk_pavg,0.5,1000,2000,0.5,0,0.0,0,0,0,1000,0,0
1,benign:MySQL,risk_pavg,0.7,1400,2000,0.7,0,0.0,0,0,0,600,0,0
1,benign:MySQL,risk_pavg,0.8,1600,2000,0.8,0,0.0,0,0,0,400,0,0
1,benign:MySQL,risk_pavg,0.9,1800,2000,0.9,0,0.0,0,0,0,200,0,0
1,benign:MySQL,risk_pavg,0.95,1900,2000,0.95,0,0.0,0,0,0,100,0,0
1,benign:MySQL,risk_pavg,1.0,2000,2000,1.0,0,0.0,0,0,0,0,0,0
1,benign:MySQL,risk_disagreement,0.5,1000,2000,0.5,0,0.0,0,0,0,1000,0,0
1,benign:MySQL,risk_disagreement,0.7,1400,2000,0.7,0,0.0,0,0,0,600,0,0
1,benign:MySQL,risk_disagreement,0.8,1600,2000,0.8,0,0.0,0,0,0,400,0,0
1,benign:MySQL,risk_disagreement,0.9,1800,2000,0.9,0,0.0,0,0,0,200,0,0
1,benign:MySQL,risk_disagreement,0.95,1900,2000,0.95,0,0.0,0,0,0,100,0,0
1,benign:MySQL,risk_disagreement,1.0,2000,2000,1.0,0,0.0,0,0,0,0,0,0
1,benign:MySQL,risk_hgb,0.5,1000,2000,0.5,0,0.0,0,0,0,1000,0,0
1,benign:MySQL,risk_hgb,0.7,1400,2000,0.7,0,0.0,0,0,0,600,0,0
1,benign:MySQL,risk_hgb,0.8,1600,2000,0.8,0,0.0,0,0,0,400,0,0
1,benign:MySQL,risk_hgb,0.9,1800,2000,0.9,0,0.0,0,0,0,200,0,0
1,benign:MySQL,risk_hgb,0.95,1900,2000,0.95,0,0.0,0,0,0,100,0,0
1,benign:MySQL,risk_hgb,1.0,2000,2000,1.0,0,0.0,0,0,0,0,0,0
1,malware:Neris,risk_pavg,0.5,1000,2000,0.5,0,0.0,1000,1000,1000,0,1988,12
1,malware:Neris,risk_pavg,0.7,1400,2000,0.7,0,0.0,1400,600,600,0,1988,12
1,malware:Neris,risk_pavg,0.8,1600,2000,0.8,0,0.0,1600,400,400,0,1988,12
1,malware:Neris,risk_pavg,0.9,1800,2000,0.9,4,0.0022222222222222222,1796,204,200,0,1988,12
1,malware:Neris,risk_pavg,0.95,1900,2000,0.95,5,0.002631578947368421,1895,105,100,0,1988,12
1,malware:Neris,risk_pavg,1.0,2000,2000,1.0,12,0.006,1988,12,0,0,1988,12
1,malware:Neris,risk_disagreement,0.5,1000,2000,0.5,0,0.0,1000,1000,1000,0,1988,12
1,malware:Neris,risk_disagreement,0.7,1400,2000,0.7,0,0.0,1400,600,600,0,1988,12
1,malware:Neris,risk_disagreement,0.8,1600,2000,0.8,0,0.0,1600,400,400,0,1988,12
1,malware:Neris,risk_disagreement,0.9,1800,2000,0.9,4,0.0022222222222222222,1796,204,200,0,1988,12
1,malware:Neris,risk_disagreement,0.95,1900,2000,0.95,5,0.002631578947368421,1895,105,100,0,1988,12
1,malware:Neris,risk_disagreement,1.0,2000,2000,1.0,12,0.006,1988,12,0,0,1988,12
1,malware:Neris,risk_hgb,0.5,1000,2000,0.5,4,0.004,996,1004,1000,0,1988,12
1,malware:Neris,risk_hgb,0.7,1400,2000,0.7,4,0.002857142857142857,1396,604,600,0,1988,12
1,malware:Neris,risk_hgb,0.8,1600,2000,0.8,4,0.0025,1596,404,400,0,1988,12
1,malware:Neris,risk_hgb,0.9,1800,2000,0.9,4,0.0022222222222222222,1796,204,200,0,1988,12
1,malware:Neris,risk_hgb,0.95,1900,2000,0.95,6,0.003157894736842105,1894,106,100,0,1988,12
1,malware:Neris,risk_hgb,1.0,2000,2000,1.0,12,0.006,1988,12,0,0,1988,12
2,__ALL__,risk_pavg,0.5,2000,4000,0.5,0,0.0,35,1965,1965,35,1999,1
2,__ALL__,risk_pavg,0.7,2800,4000,0.7,0,0.0,835,1165,1165,35,1999,1
2,__ALL__,risk_pavg,0.8,3200,4000,0.8,0,0.0,1235,765,765,35,1999,1
2,__ALL__,risk_pavg,0.9,3600,4000,0.9,1,0.0002777777777777778,1614,386,385,15,1999,1
2,__ALL__,risk_pavg,0.95,3800,4000,0.95,1,0.0002631578947368421,1814,186,185,15,1999,1
2,__ALL__,risk_pavg,1.0,4000,4000,1.0,1,0.00025,1999,1,0,0,1999,1
2,__ALL__,risk_disagreement,0.5,2000,4000,0.5,0,0.0,43,1957,1957,43,1999,1
