analysis_status,dataset_name,feature_name,final_feature_policy,group_stability,shortcut_risk,source_association
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.icmp_type,dataset_specific,not_available,0.0,not_available
computed,NF-BoT-IoT/NF-ToN-IoT,native.in_bytes,shortcut_suspect,0.25389510642966867,0.8965264543930782,0.8965264543930782
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.in_pkts,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.l7_proto,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.longest_flow_pkt,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.max_ip_pkt_len,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.max_ttl,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.min_ip_pkt_len,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.min_ttl,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.num_pkts_1024_to_1514_bytes,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.num_pkts_128_to_256_bytes,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.num_pkts_256_to_512_bytes,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.num_pkts_512_to_1024_bytes,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.num_pkts_up_to_128_bytes,dataset_specific,not_available,0.0,not_available
computed,NF-BoT-IoT/NF-ToN-IoT,native.out_bytes,shortcut_suspect,0.25389510642966867,0.7461048935703314,0.5619840998302426
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.out_pkts,dataset_specific,not_available,0.0,not_available
computed,NF-BoT-IoT/NF-ToN-IoT,native.protocol,shortcut_suspect,0.25389510642966867,0.7461048935703314,0.06712400927297058
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.retransmitted_in_bytes,dataset_specific,not_available,0.0,not_available
inventory_only,NF-BoT-IoT/NF-ToN-IoT,native.retransmitted_in_pkts,dataset_specific,not_available,0.0,not_available
