accuracy,coverage,diagnostic_only,ece,macro_f1,malicious_recall,selective_error,test_dataset,train_dataset,weighted_f1,worst_group_macro_f1
0.5170833333333333,1.0,True,0.47818971693351103,0.389249419681556,0.9745833333333334,0.48291666666666666,NF-IoT,USTC-TFC2016,0.389249419681556,not_available
0.5172824791418356,1.0,True,0.4758236167814136,0.4420965525394175,0.9464285714285714,0.48271752085816444,CICIDS2017,USTC-TFC2016,0.4286704942175571,not_available
0.5108333333333334,1.0,True,0.4889759314260566,0.3569654318711083,1.0,0.48916666666666664,HIKARI-2021,USTC-TFC2016,0.35696543187110824,not_available
0.4996,1.0,True,0.5000095356627916,0.33421806226482087,0.0012,0.5004,DoHBrw-2020,USTC-TFC2016,0.33421806226482087,not_available
0.5934895833333333,1.0,True,0.3567697840168884,0.540041032467552,0.303125,0.40651041666666665,USTC-TFC2016,NF-IoT,0.5661732498503633,not_available
0.5518474374255066,1.0,True,0.43191371287496105,0.41916335248195613,0.07908163265306123,0.44815256257449343,CICIDS2017,NF-IoT,0.43736191774852784,not_available
0.3713888888888889,1.0,True,0.6121184919671998,0.2708122341502937,0.0,0.6286111111111111,HIKARI-2021,NF-IoT,0.2708122341502937,not_available
0.488,1.0,True,0.5083854646575363,0.3289872677430969,0.0012,0.512,DoHBrw-2020,NF-IoT,0.3289872677430969,not_available
0.46380208333333334,1.0,True,0.5012936444113687,0.4292353587690375,0.26125,0.5361979166666666,USTC-TFC2016,CICIDS2017,0.45264562725702623,not_available
0.5110416666666666,1.0,True,0.42548993226581266,0.5058286522614361,0.61375,0.4889583333333334,NF-IoT,CICIDS2017,0.5058286522614363,not_available
0.31527777777777777,1.0,True,0.6571488354220354,0.2818221613948092,0.09944444444444445,0.6847222222222222,HIKARI-2021,CICIDS2017,0.2818221613948092,not_available
0.4994,1.0,True,0.49996913507976326,0.33412854825285493,0.0012,0.5005999999999999,DoHBrw-2020,CICIDS2017,0.33412854825285493,not_available
0.5893229166666667,1.0,True,0.40775922458067015,0.3839913306642961,0.014375,0.4106770833333333,USTC-TFC2016,HIKARI-2021,0.44326612319542696,not_available
0.4997916666666667,1.0,True,0.5001777063825698,0.33324072787887205,0.0,0.5002083333333334,NF-IoT,HIKARI-2021,0.33324072787887205,not_available
0.5292014302741359,1.0,True,0.4614765876090373,0.3757264087856611,0.03571428571428571,0.4707985697258641,CICIDS2017,HIKARI-2021,0.39601757749207,not_available
0.5788,1.0,True,0.375373319783511,0.49895279707102935,0.1796,0.4212,DoHBrw-2020,HIKARI-2021,0.49895279707102935,not_available
0.58515625,1.0,True,0.2533224830148209,0.3749156326374497,0.00625,0.41484374999999996,USTC-TFC2016,DoHBrw-2020,0.4353350287362518,not_available
0.49333333333333335,1.0,True,0.28266612652105133,0.33108344128964473,0.0008333333333333334,0.5066666666666666,NF-IoT,DoHBrw-2020,0.33108344128964473,not_available
0.5733015494636472,1.0,True,0.3203010330643201,0.4653501651856915,0.1326530612244898,0.4266984505363528,CICIDS2017,DoHBrw-2020,0.48109904087610944,not_available
0.4775,1.0,True,0.622942267273565,0.3383361023173382,0.01888888888888889,0.5225,HIKARI-2021,DoHBrw-2020,0.3383361023173381,not_available
