accuracy,configuration,coverage,dataset,ece,macro_f1,malicious_recall,model,protocol,selective_error,test_count,train_count,weighted_f1,worst_group_macro_f1
0.9991319444444444,all_numeric_features,1.0,USTC-TFC2016,0.0006778828304003172,0.9991068763543189,0.9979166666666667,HGB,random_stratified_70_30,0.0008680555555555802,1152,2688,0.999131814557967,not_available
0.9991319444444444,all_numeric_features,1.0,USTC-TFC2016,0.007297092013888914,0.9991068763543189,0.9979166666666667,RandomForest,random_stratified_70_30,0.0008680555555555802,1152,2688,0.999131814557967,not_available
0.9991319444444444,all_numeric_features,1.0,USTC-TFC2016,0.008300781249999983,0.9991068763543189,0.9979166666666667,ExtraTrees,random_stratified_70_30,0.0008680555555555802,1152,2688,0.999131814557967,not_available
0.8880208333333334,all_numeric_features,1.0,USTC-TFC2016,0.088896617981057,0.8868936941681844,0.9458333333333333,LogisticSGD,random_stratified_70_30,0.11197916666666663,1152,2688,0.8887755265134766,not_available
0.9956597222222222,safe_common_only,1.0,USTC-TFC2016,0.004585764776886126,0.9955289743420568,0.9895833333333334,HGB,random_stratified_70_30,0.00434027777777779,1152,2688,0.9956564037481063,not_available
0.9965277777777778,safe_common_only,1.0,USTC-TFC2016,0.010698784722222214,0.9964242702655725,0.9916666666666667,RandomForest,random_stratified_70_30,0.00347222222222221,1152,2688,0.9965256653795697,not_available
0.9930555555555556,safe_common_only,1.0,USTC-TFC2016,0.010791015624999963,0.9928485405311449,0.9875,ExtraTrees,random_stratified_70_30,0.00694444444444442,1152,2688,0.9930513307591391,not_available
0.8064236111111112,safe_common_only,1.0,USTC-TFC2016,0.08770841463817802,0.7868618928186523,0.6041666666666666,LogisticSGD,random_stratified_70_30,0.19357638888888884,1152,2688,0.797623640417942,not_available
0.9991319444444444,safe_common_plus_safe_conditional,1.0,USTC-TFC2016,0.0006439167808244865,0.9991068763543189,0.9979166666666667,HGB,random_stratified_70_30,0.0008680555555555802,1152,2688,0.999131814557967,not_available
0.9991319444444444,safe_common_plus_safe_conditional,1.0,USTC-TFC2016,0.006868489583333374,0.9991068763543189,0.9979166666666667,RandomForest,random_stratified_70_30,0.0008680555555555802,1152,2688,0.999131814557967,not_available
0.9991319444444444,safe_common_plus_safe_conditional,1.0,USTC-TFC2016,0.006065538194444406,0.9991068763543189,0.9979166666666667,ExtraTrees,random_stratified_70_30,0.0008680555555555802,1152,2688,0.999131814557967,not_available
0.7708333333333334,safe_common_plus_safe_conditional,1.0,USTC-TFC2016,0.10453946674428093,0.7705283172619857,0.96875,LogisticSGD,random_stratified_70_30,0.22916666666666663,1152,2688,0.7691339580786818,not_available
0.9947916666666666,safe_common_plus_dataset_specific,1.0,USTC-TFC2016,0.005102713605474611,0.9946331236897274,0.9875,HGB,random_stratified_70_30,0.00520833333333337,1152,2688,0.994786862334032,not_available
0.9956597222222222,safe_common_plus_dataset_specific,1.0,USTC-TFC2016,0.00798611111111109,0.9955289743420568,0.9895833333333334,RandomForest,random_stratified_70_30,0.00434027777777779,1152,2688,0.9956564037481063,not_available
0.9930555555555556,safe_common_plus_dataset_specific,1.0,USTC-TFC2016,0.009027777777777728,0.9928485405311449,0.9875,ExtraTrees,random_stratified_70_30,0.00694444444444442,1152,2688,0.9930513307591391,not_available
0.8541666666666666,safe_common_plus_dataset_specific,1.0,USTC-TFC2016,0.07057024833535164,0.8521054433413214,0.8833333333333333,LogisticSGD,random_stratified_70_30,0.14583333333333337,1152,2688,0.8550154056829853,not_available
0.9784722222222222,all_numeric_features,1.0,NF-IoT,0.009187072523466046,0.9784692214530285,0.9666666666666667,HGB,random_stratified_70_30,0.021527777777777812,1440,3360,0.9784692214530284,not_available
0.9791666666666666,all_numeric_features,1.0,NF-IoT,0.012122603610770203,0.9791640943326336,0.9680555555555556,RandomForest,random_stratified_70_30,0.02083333333333337,1440,3360,0.9791640943326336,not_available
0.9819444444444444,all_numeric_features,1.0,NF-IoT,0.007714570996818892,0.9819427376430256,0.9722222222222222,ExtraTrees,random_stratified_70_30,0.018055555555555602,1440,3360,0.9819427376430256,not_available
0.5847222222222223,all_numeric_features,1.0,NF-IoT,0.0627609055332712,0.5075656201749872,0.9805555555555555,LogisticSGD,random_stratified_70_30,0.41527777777777775,1440,3360,0.5075656201749872,not_available
0.9805555555555555,safe_common_only,1.0,NF-IoT,0.006950998584115774,0.9805525168863191,0.9680555555555556,HGB,random_stratified_70_30,0.019444444444444486,1440,3360,0.9805525168863191,not_available
0.9777777777777777,safe_common_only,1.0,NF-IoT,0.007058345462239322,0.977774305012936,0.9652777777777778,RandomForest,random_stratified_70_30,0.022222222222222254,1440,3360,0.977774305012936,not_available
0.9826388888888888,safe_common_only,1.0,NF-IoT,0.007941578858655344,0.9826370048833424,0.9722222222222222,ExtraTrees,random_stratified_70_30,0.01736111111111116,1440,3360,0.9826370048833424,not_available
0.5847222222222223,safe_common_only,1.0,NF-IoT,0.06295148971537912,0.5075656201749872,0.9805555555555555,LogisticSGD,random_stratified_70_30,0.41527777777777775,1440,3360,0.5075656201749872,not_available
0.9805555555555555,safe_common_plus_safe_conditional,1.0,NF-IoT,0.006950998584115774,0.9805525168863191,0.9680555555555556,HGB,random_stratified_70_30,0.019444444444444486,1440,3360,0.9805525168863191,not_available
0.9777777777777777,safe_common_plus_safe_conditional,1.0,NF-IoT,0.007058345462239324,0.977774305012936,0.9652777777777778,RandomForest,random_stratified_70_30,0.022222222222222254,1440,3360,0.977774305012936,not_available
0.9826388888888888,safe_common_plus_safe_conditional,1.0,NF-IoT,0.007941578858655344,0.9826370048833424,0.9722222222222222,ExtraTrees,random_stratified_70_30,0.01736111111111116,1440,3360,0.9826370048833424,not_available
0.5847222222222223,safe_common_plus_safe_conditional,1.0,NF-IoT,0.06295148971537912,0.5075656201749872,0.9805555555555555,LogisticSGD,random_stratified_70_30,0.41527777777777775,1440,3360,0.5075656201749872,not_available
0.9826388888888888,safe_common_plus_dataset_specific,1.0,NF-IoT,0.009043320917308726,0.9826370048833424,0.9722222222222222,HGB,random_stratified_70_30,0.01736111111111116,1440,3360,0.9826370048833424,not_available
0.9791666666666666,safe_common_plus_dataset_specific,1.0,NF-IoT,0.008752401724507298,0.9791626471155701,0.9652777777777778,RandomForest,random_stratified_70_30,0.02083333333333337,1440,3360,0.9791626471155701,not_available
