reason_code,occurrence_count,occurrence_per_case
DECISION_THRESHOLD_REACHED,1402,0.23366666666666666
INITIAL_MULTI_VIEW_EVIDENCE,6000,1.0
NO_PRODUCTIVE_AGENT_REMAINS,4598,0.7663333333333333
