heldout_group,model_id,artifact,artifact_hash,training_seconds,training_seed
benign:BitTorrent,stats_hgb,data/runs/mad_etd_thesis_reviewer_closure_v24/ustc_ten_seed_internal/ustc_multiseed/seed_50/hybrid/model_artifacts/benign_BitTorrent__stats_hgb.joblib,8446e41acc4b0bdddacee3681bdff079533578f23bd3eb3348c6316ad95b439a,0.8724707000001217,50
benign:BitTorrent,stats_extra_trees,data/runs/mad_etd_thesis_reviewer_closure_v24/ustc_ten_seed_internal/ustc_multiseed/seed_50/hybrid/model_artifacts/benign_BitTorrent__stats_extra_trees.joblib,d41670ac8bb60978b0d07ac107262684b585dc3ece5edee20675108e871b3083,0.33731210000041756,50
benign:BitTorrent,temporal_hgb,data/runs/mad_etd_thesis_reviewer_closure_v24/ustc_ten_seed_internal/ustc_multiseed/seed_50/hybrid/model_artifacts/benign_BitTorrent__temporal_hgb.joblib,58321fa5d9aa3431d582c9c75657673fa978f01ad109b8e841ed5a9aef0f25bb,0.9363272000009601,50
benign:FTP,stats_hgb,data/runs/mad_etd_thesis_reviewer_closure_v24/ustc_ten_seed_internal/ustc_multiseed/seed_50/hybrid/model_artifacts/benign_FTP__stats_hgb.joblib,5c36b47ab4b03554add81160f43e73d254549f904a581c89b7a51a4216a84c90,0.9021699999975681,50
benign:FTP,stats_extra_trees,data/runs/mad_etd_thesis_reviewer_closure_v24/ustc_ten_seed_internal/ustc_multiseed/seed_50/hybrid/model_artifacts/benign_FTP__stats_extra_trees.joblib,3843db72220f8fa3ac21c3465e6d19c2c0542312cc950619b4bb6034f475c7a1,0.35021749999941676,50
benign:FTP,temporal_hgb,data/runs/mad_etd_thesis_reviewer_closure_v24/ustc_ten_seed_internal/ustc_multiseed/seed_50/hybrid/model_artifacts/benign_FTP__temporal_hgb.joblib,9e8c466a101f7b1cc81fda24042cb971dc27aae45f16b0131fb1b5e116da739a,0.8872216000017943,50
benign:Facetime,stats_hgb,data/runs/mad_etd_thesis_reviewer_closure_v24/ustc_ten_seed_internal/ustc_multiseed/seed_50/hybrid/model_artifacts/benign_Facetime__stats_hgb.joblib,8dd6465ed89b7fbcbbb2286d6baf80750335d018082994193da62a49ab8d3dbf,0.8924635000003036,50
benign:Facetime,stats_extra_trees,data/runs/mad_etd_thesis_reviewer_closure_v24/ustc_ten_seed_internal/ustc_multiseed/seed_50/hybrid/model_artifacts/benign_Facetime__stats_extra_trees.joblib,7b3449e5f549a7a4d6754e6bfb733e3dc526ad0a60a4bf43d1b81f58f0499eba,0.34568819999913103,50
benign:Facetime,temporal_hgb,data/runs/mad_etd_thesis_reviewer_closure_v24/ustc_ten_seed_internal/ustc_multiseed/seed_50/hybrid/model_artifacts/benign_Facetime__temporal_hgb.joblib,2cda557a99fdf055aba9bde07ed9e5c83ab7acee5990a22bb5b1ec15f51be858,1.0902348999989044,50
benign:Gmail,stats_hgb,data/runs/mad_etd_thesis_reviewer_closure_v24/ustc_ten_seed_internal/ustc_multiseed/seed_50/hybrid/model_artifacts/benign_Gmail__stats_hgb.joblib,39767a6ca74f4946177a7e2069b2c750f7a2b1372faa61feff90f8babbff8a06,1.0454905000005965,50
benign:Gmail,stats_extra_trees,data/runs/mad_etd_thesis_reviewer_closure_v24/ustc_ten_seed_internal/ustc_multiseed/seed_50/hybrid/model_artifacts/benign_Gmail__stats_extra_trees.joblib,84310878a664273f9f965ebbb9a1fc693fd6a1de1ac36531c1205a9935710de3,0.3530749999990803,50
benign:Gmail,temporal_hgb,data/runs/mad_etd_thesis_reviewer_closure_v24/ustc_ten_seed_internal/ustc_multiseed/seed_50/hybrid/model_artifacts/benign_Gmail__temporal_hgb.joblib,6415ccee31098aee2b81572995591409b43f65138b0fe88eae445aba8a126e54,1.0642941000005521,50
