heldout_group,model_id,artifact,artifact_hash,training_seconds,training_seed
benign:BitTorrent,stats_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_BitTorrent__stats_hgb.joblib,40680245ccfb9a2e2444225fd8a47f616d5eb1eaf312cadd8c8329afa7a4d19f,1.1061200000040117,43
benign:BitTorrent,stats_extra_trees,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_BitTorrent__stats_extra_trees.joblib,80be21ec16dd8681c56813b82d0460529c17e07e23f83539e79674bd72d93944,0.4831978000001982,43
benign:BitTorrent,temporal_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_BitTorrent__temporal_hgb.joblib,2e5bb683455fc559f0e844a67c5c14e415a288ce35b9a02a6ecac80337da5959,1.1659308000016608,43
benign:FTP,stats_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_FTP__stats_hgb.joblib,964ed48b7fb676d8d471138bb3f3b106d6bfb929e6c5e52a15de32630c0febb9,1.0894524999966961,43
benign:FTP,stats_extra_trees,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_FTP__stats_extra_trees.joblib,4ff5e517010ff34adb1980b4199aa6b766389275c59e4e39b633b2266da8f546,0.4390925999978208,43
benign:FTP,temporal_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_FTP__temporal_hgb.joblib,36cfa7824f970fd581b5332f474b702c2fc725c96262e61acd565e0ce9a54966,1.0746656999981496,43
benign:Facetime,stats_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Facetime__stats_hgb.joblib,35fc26065ab83441168a2e9f4c72b5fbdb8034a77ed9636007aae737317e4e07,1.102593200004776,43
benign:Facetime,stats_extra_trees,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Facetime__stats_extra_trees.joblib,37a9b23bcdbfa6771b84be937e102c8bf1fcab9c31993f2c640bab05e025176b,0.46570909999718424,43
benign:Facetime,temporal_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Facetime__temporal_hgb.joblib,eef9830581955efad6a58cf63b301cee4e02040a0ef4ece73a316c3578c734e9,1.222068600000057,43
benign:Gmail,stats_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Gmail__stats_hgb.joblib,112d9751efcee170ec73ad17a64c3dde14a329cdff49636c186c7a3f0a9438a1,1.1010292999999365,43
benign:Gmail,stats_extra_trees,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Gmail__stats_extra_trees.joblib,cda1b7bd86b3e0a5757b27b5525f2f02ec84db835af986c581047c71f249459f,0.4235858999963966,43
benign:Gmail,temporal_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Gmail__temporal_hgb.joblib,44e2ea5b236b6b13032fe3fff45943281e521db981ee0e338589302689773374,1.2935456999985036,43
benign:MySQL,stats_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_MySQL__stats_hgb.joblib,f2b585ce2f4597183d3747bb13d14a10aff15043ef0cba3898cbe47c1fb954fc,1.266095699997095,43
benign:MySQL,stats_extra_trees,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_MySQL__stats_extra_trees.joblib,e106d849b7825c3d83dbcb23cfdb9ae78ddeca94313b90e580258b360ffeda90,0.42889699999795994,43
benign:MySQL,temporal_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_MySQL__temporal_hgb.joblib,fb6f00cabc05a19b6eead1293bc7832d768d276dc45061e814cb62e896949c06,1.2744493999998667,43
benign:Outlook,stats_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Outlook__stats_hgb.joblib,f2b585ce2f4597183d3747bb13d14a10aff15043ef0cba3898cbe47c1fb954fc,1.262403799999447,43
benign:Outlook,stats_extra_trees,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Outlook__stats_extra_trees.joblib,b17cbbe8a0e50025240ec6ee9cc351ede51bd51b755e89f14f6ef2001349289d,0.5216600999992806,43
benign:Outlook,temporal_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Outlook__temporal_hgb.joblib,fb6f00cabc05a19b6eead1293bc7832d768d276dc45061e814cb62e896949c06,1.291065700002946,43
benign:SMB,stats_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_SMB__stats_hgb.joblib,936893876ed2ba6a886461c897e34996fd001e833b41f58acd60bc3cbd42b1dd,1.4481881999963662,43
benign:SMB,stats_extra_trees,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_SMB__stats_extra_trees.joblib,7827fdf5e26cd0cb757adf2e421f3fa0b2af5864e65996282d520608c22b29cc,0.4838732999996864,43
benign:SMB,temporal_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_SMB__temporal_hgb.joblib,685be98e14169f29989e1b86007087dfe6555354709263c9550c87d8c00a9742,1.4035757000019657,43
benign:Skype,stats_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Skype__stats_hgb.joblib,9f972f43a492836e5280947abb55d388f64d9718f6e47ae70b357e66283a36a8,1.1625113999980385,43
benign:Skype,stats_extra_trees,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Skype__stats_extra_trees.joblib,bbfc1c7d8668923c30d4c0dec56a6c87b376d0c1187eddb276710550470985da,0.4493849999998929,43
benign:Skype,temporal_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Skype__temporal_hgb.joblib,07471974b73fa4ea42c319f185bbb90ce81603ddd9bc050a7c26c4753a02c612,1.2709147999994457,43
benign:Weibo,stats_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Weibo__stats_hgb.joblib,903d8d2727ece57211f2b58ab497b4e3175cc59ea70055db3d55ff26cff2b630,1.3524614999987534,43
benign:Weibo,stats_extra_trees,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Weibo__stats_extra_trees.joblib,7087d923e1fc51ecc82b2b0f7f653ca6eced440500b80d2c1e180bcd2346ab47,0.4664926000041305,43
benign:Weibo,temporal_hgb,data/runs/mad_etd_thesis_final_evidence_v21/ustc_multiseed/seed_43/hybrid/model_artifacts/benign_Weibo__temporal_hgb.joblib,ad3d62a66219eec7f8da58b1db3d9bf776cabcdd6a2a6a7c45af68efb8ca3fc1,1.3450491999974474,43
