mode,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,malicious_recall,ece,brier_score,coverage,selective_error,source_mode
factorial_hgb_plus_temporal,0.875575,0.8958942329041161,0.875575,0.8739577231068958,0.8739577231068959,0.98885,0.10556009314349044,0.0912039785007413,1.0,0.12442500000000001,
factorial_tree_plus_temporal,0.936975,0.9420982656992669,0.936975,0.9367918778134647,0.9367918778134648,0.9908,0.08421508295602408,0.06671725871875135,1.0,0.063025,
fixed_weight_ensemble,0.883625,0.8976419018943964,0.883625,0.882590325408133,0.8825903254081331,0.9775,0.08707716648215642,0.07298942437279163,1.0,0.116375,
full_mad_etd_fusion,0.927375,0.9348198650671675,0.9273750000000001,0.9270627973641357,0.9270627973641357,0.9928,0.07483177778350736,0.0685097435219666,1.0,0.07262500000000005,
reliability_only_fusion,0.941175,0.9456990965355778,0.9411750000000001,0.9410253435158604,0.9410253435158603,0.99155,0.0840683116164435,0.0661974503530765,1.0,0.058825000000000016,
reliability_plus_ood_fusion,0.941175,0.9456990965355778,0.9411750000000001,0.9410253435158604,0.9410253435158603,0.99155,0.0840683116164435,0.0661974503530765,1.0,0.058825000000000016,
simple_probability_average,0.939775,0.9438184983020266,0.939775,0.9396375138366013,0.9396375138366013,0.9875,0.08369110905250926,0.06627354655664643,1.0,0.06022499999999997,
stats_hgb_only,0.842325,0.8670723271158569,0.842325,0.8396219024431488,0.8396219024431488,0.97215,0.15105040995851557,0.1499658337807872,1.0,0.157675,
stats_tree_only,0.875,0.8956200701585247,0.875,0.8733497186543789,0.8733497186543789,0.98915,0.0934161213953454,0.09366767648116957,1.0,0.125,
strongest_single_agent,0.92535,0.9342295602781274,0.92535,0.924966409527105,0.924966409527105,0.99685,0.07511836016565467,0.07441928041049369,1.0,0.07465,temporal_only
temporal_only,0.92535,0.9342295602781274,0.92535,0.924966409527105,0.924966409527105,0.99685,0.07511836016565467,0.07441928041049369,1.0,0.07465,
validation_selected_single_agent,0.925875,0.9321340829945177,0.925875,0.9256056156559622,0.9256056156559622,0.98605,0.05640024892590456,0.04981748813177593,1.0,0.074125,
