method,target_coverage,clean_accepted_count,perturbed_accepted_count,harmful_flip_count,harmful_flip_rate_all_pairs,accepted_binary_reversal_count,labels_used_for_ranking,accepted_count,realized_coverage,accepted_benign_count,accepted_malicious_count,accepted_malicious_ratio,benign_class_coverage,malicious_class_coverage,balanced_acceptance_rate,accepted_macro_f1,selective_error,all_sample_malicious_recall_with_abstention
probability_average_confidence_reject,0.883125,2826,2826,5,0.0015625,5,False,2826,0.883125,941,1885,0.6670205237084218,0.8283450704225352,0.9132751937984496,0.8708101321104924,0.9924699722367565,0.006723283793347488,0.9040697674418605
probability_average_ood_score_reject,0.883125,2826,2826,89,0.0278125,89,False,2826,0.883125,990,1836,0.6496815286624203,0.8714788732394366,0.8895348837209303,0.8805068784801835,0.9633307107564673,0.032908704883227176,0.8812984496124031
yager_confidence_reject,0.883125,2826,2826,0,0.0,0,False,2826,0.883125,910,1916,0.6779900920028309,0.801056338028169,0.9282945736434108,0.8646754558357899,0.9959595439689116,0.003538570417551309,0.9234496124031008
full_fusion_score_ranking,0.883125,2826,2826,0,0.0,0,False,2826,0.883125,890,1936,0.6850672328379335,0.7834507042253521,0.937984496124031,0.8607176001746916,0.9959120379344364,0.003538570417551309,0.9331395348837209
