method,source_config,target_coverage,score_definition,labels_used_for_ranking,accepted_count,realized_coverage,accepted_benign_count,accepted_malicious_count,accepted_malicious_ratio,benign_class_coverage,malicious_class_coverage,balanced_acceptance_rate,accepted_macro_f1,selective_error,all_sample_malicious_recall_with_abstention
probability_average_ood_score_reject,probability_average,0.35,1-max(local OOD score),False,2100,0.35,182,1918,0.9133333333333333,0.06262904335856848,0.6199095022624435,0.34126927281050595,1.0,0.0,0.6199095022624435
probability_average_ood_score_reject,probability_average,0.4,1-max(local OOD score),False,2400,0.4,357,2043,0.85125,0.12284927735719202,0.6603102779573368,0.39157977765726437,1.0,0.0,0.6603102779573368
probability_average_ood_score_reject,probability_average,0.45,1-max(local OOD score),False,2700,0.45,511,2189,0.8107407407407408,0.17584308327598072,0.7074983839689722,0.4416707336224765,1.0,0.0,0.7074983839689722
probability_average_ood_score_reject,probability_average,0.5,1-max(local OOD score),False,3000,0.5,687,2313,0.771,0.23640743289745356,0.7475759534583064,0.49199169317788,1.0,0.0,0.7475759534583064
probability_average_ood_score_reject,probability_average,0.55,1-max(local OOD score),False,3300,0.55,924,2376,0.72,0.3179628355127323,0.7679379444085327,0.5429503899606325,1.0,0.0,0.7679379444085327
probability_average_ood_score_reject,probability_average,0.6,1-max(local OOD score),False,3600,0.6,1110,2490,0.6916666666666667,0.38196834136269786,0.8047834518422754,0.5933758966024867,1.0,0.0,0.8047834518422754
probability_average_ood_score_reject,probability_average,0.65,1-max(local OOD score),False,3900,0.65,1342,2558,0.6558974358974359,0.4618031658637302,0.8267614738202973,0.6442823198420138,1.0,0.0,0.8267614738202973
probability_average_ood_score_reject,probability_average,0.7,1-max(local OOD score),False,4200,0.7,1588,2612,0.621904761904762,0.5464556090846524,0.8442146089204913,0.6953351090025719,1.0,0.0,0.8442146089204913
probability_average_ood_score_reject,probability_average,0.75,1-max(local OOD score),False,4500,0.75,1880,2620,0.5822222222222222,0.6469373709566414,0.8468002585649644,0.7468688147608029,1.0,0.0,0.8468002585649644
probability_average_ood_score_reject,probability_average,0.8,1-max(local OOD score),False,4800,0.8,2138,2662,0.5545833333333333,0.735719201651755,0.8603749191984487,0.7980470604251018,1.0,0.0,0.8603749191984487
probability_average_ood_score_reject,probability_average,0.85,1-max(local OOD score),False,5100,0.85,2313,2787,0.5464705882352942,0.7959394356503785,0.900775694893342,0.8483575652718602,1.0,0.0,0.900775694893342
probability_average_ood_score_reject,probability_average,0.883125,1-max(local OOD score),False,5299,0.8831666666666667,2439,2860,0.5397244763162861,0.8392980041293875,0.9243697478991597,0.8818338760142737,1.0,0.0,0.9243697478991597
probability_average_ood_score_reject,probability_average,0.9,1-max(local OOD score),False,5400,0.9,2508,2892,0.5355555555555556,0.8630419821059876,0.9347123464770524,0.89887716429152,1.0,0.0,0.9347123464770524
