dataset,baseline,candidate,baseline_p95_ms,candidate_p95_ms,absolute_delta_ms,relative_delta,absolute_delta_ci_low_ms,absolute_delta_ci_high_ms,relative_delta_ci_low,relative_delta_ci_high,bootstrap_iterations,bootstrap_seed
CICIoT2023,static_full_call,capability_aware_mad_etd,0.44298809999999994,0.3828831,0.060104999999999964,0.1356808456028502,0.05758325000000011,0.06299512500000003,0.13021308089512973,0.1416235773370714,1000,42
CICIoT2023,fixed_supported_full_call,capability_aware_mad_etd,0.3770831,0.3828831,-0.005799999999999972,-0.015381224987277266,-0.007900125000000017,-0.003895000000000036,-0.02100049125408698,-0.01031219921474668,1000,42
CICIoT2023,ordinary_rule_routing,capability_aware_mad_etd,0.3963831,0.3828831,0.013500000000000012,0.03405796059418278,0.01130000000000003,0.015595125000000026,0.02856209200611837,0.03917704861258885,1000,42
NF-IoT,static_full_call,capability_aware_mad_etd,0.4311,0.3719,0.059199999999999975,0.13732312688471346,0.056705000000000005,0.06211724999999992,0.13200012258845226,0.14370047100573316,1000,42
NF-IoT,fixed_supported_full_call,capability_aware_mad_etd,0.3726,0.3719,0.0006999999999999784,0.0018786902844873281,-0.001495000000000024,0.0027023750000000337,-0.0040274241995663426,0.007244572264848892,1000,42
NF-IoT,ordinary_rule_routing,capability_aware_mad_etd,0.3776,0.3719,0.005699999999999983,0.015095338983050802,0.002794999999999992,0.008400000000000019,0.007449162008873911,0.022134525908650546,1000,42
USTC-TFC2016,static_full_call,capability_aware_mad_etd,0.30931,0.2531,0.05620999999999998,0.1817270699298438,0.05410000000000004,0.05800499999999997,0.17551807379655354,0.18687485599396514,1000,42
USTC-TFC2016,fixed_supported_full_call,capability_aware_mad_etd,0.25320499999999996,0.2531,0.00010499999999996623,0.00041468375427012206,-0.0017071249999999593,0.0015999999999999916,-0.0067634223390840775,0.0062918432388567504,1000,42
USTC-TFC2016,ordinary_rule_routing,capability_aware_mad_etd,0.255305,0.2531,0.0022050000000000125,0.008636728618711002,-9.999999999998899e-05,0.00400512499999998,-0.00039233771809740037,0.015585324491844226,1000,42
