mode,accuracy,macro_f1,weighted_f1,macro_precision,malicious_recall,coverage,selective_error,avg_evidence_calls
temporal_strongest_single,0.9279,0.9275480217690761,0.9275480217690761,0.936379891141421,0.9976,1.0,0.07210000000000005,1.0
static_stats_temporal_full_call,0.9282,0.9278972376166418,0.9278972376166417,0.9355149792742876,0.993,1.0,0.07179999999999997,2.0
v6_fixed_competence_rule,0.9461,0.945972914788812,0.945972914788812,0.9503372229305536,0.9946,1.0,0.05389999999999995,1.0671
v6_1_group_robust_meta_policy,0.9492,0.9490777356432796,0.9490777356432795,0.953555951356831,0.9982,1.0,0.050799999999999956,1.0671
