external_system,paper_identity,publication_status,dataset_task,metric,external_value,mad_etd_value,delta,delta_percentage_points,numerically_positive,interval_lower,interval_upper,interval_type,interval_scope,interval_supports_positive,formal_paired_significance,evidence_tier,official_code_participating,locally_executed_external_system,same_acceptance_query,same_safe_input,same_split_roles,faithful_reproduction,source_artifact,source_artifact_sha256,negative_result_status,negative_result_reason,required_in_thesis_appendix,main_positive_table_qualification_affected
MAS-LSTM,10.3390/pr13030753,peer_reviewed,NF-ToN-IoT-v2 binary classification,recall,0.9599,0.9462976469233427,-0.013602353076657248,-1.3602353076657248,False,0.9434944915742198,0.949138228858777,local_metric_bootstrap_ci_vs_fixed_paper_scalar,mad_etd_local_metric_only,False,False,paper_reported_cross_protocol,False,False,False,False,False,False,data/runs/mad_etd_five_system_positive_evidence_w236_w240/unified_metric_matrix_w237.csv,f425a221f3dc622f0eb14f881ab031035374d11815c0c6ea2715303e25e8eb4d,retained_not_hidden,mad_etd_local_below_paper_scalar,True,False
MAS-LSTM,10.3390/pr13030753,peer_reviewed,NF-ToN-IoT-v2 binary classification,f1,0.9678,0.9673330848162609,-0.0004669151837390917,-0.04669151837390917,False,0.965736817556146,0.9689048796672594,local_metric_bootstrap_ci_vs_fixed_paper_scalar,mad_etd_local_metric_only,False,False,paper_reported_cross_protocol,False,False,False,False,False,False,data/runs/mad_etd_five_system_positive_evidence_w236_w240/unified_metric_matrix_w237.csv,f425a221f3dc622f0eb14f881ab031035374d11815c0c6ea2715303e25e8eb4d,retained_not_hidden,mad_etd_local_below_paper_scalar,True,False
