mode,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,malicious_recall,ece,brier_score,coverage,selective_error,source_mode
factorial_hgb_plus_temporal,0.87465,0.8970858635302215,0.87465,0.8728540220569769,0.8728540220569768,0.9935,0.13153878383383596,0.12507206758769332,1.0,0.12534999999999996,
factorial_tree_plus_temporal,0.894975,0.9118901000044083,0.894975,0.893885548861884,0.893885548861884,0.9963,0.10915996818543691,0.09899062435560355,1.0,0.10502500000000003,
fixed_weight_ensemble,0.88765,0.902793927893746,0.88765,0.886583968410743,0.886583968410743,0.9846,0.10551278242953716,0.09634394388873982,1.0,0.11234999999999995,
full_mad_etd_fusion,0.876375,0.8978146738578558,0.876375,0.8746866017552006,0.8746866017552005,0.99245,0.11804102325187513,0.11726509765583068,1.0,0.12362499999999998,
reliability_only_fusion,0.89245,0.9085476985554046,0.89245,0.8913800322186216,0.8913800322186216,0.9917,0.10735244652938974,0.10012346238817493,1.0,0.10755000000000003,
reliability_plus_ood_fusion,0.89245,0.9085476985554046,0.89245,0.8913800322186216,0.8913800322186216,0.9917,0.10735244652938974,0.10012346238817493,1.0,0.10755000000000003,
simple_probability_average,0.892425,0.9085132325508954,0.892425,0.8913553279489512,0.8913553279489511,0.99165,0.1091576655488436,0.09978583529842985,1.0,0.10757499999999998,
stats_hgb_only,0.8513,0.8727526651099335,0.8513,0.84912927158235,0.84912927158235,0.97125,0.14998000166802303,0.14550659351384562,1.0,0.14870000000000005,
stats_tree_only,0.8613,0.8760268705283909,0.8613,0.8599285460369235,0.8599285460369236,0.96025,0.0964205396902134,0.09516274447974553,1.0,0.13870000000000005,
strongest_single_agent,0.879825,0.9020970010992707,0.8798250000000001,0.878137520820331,0.8781375208203309,0.9975,0.1194470205196892,0.11843266675158895,1.0,0.12017500000000003,temporal_only
temporal_only,0.879825,0.9020970010992707,0.8798250000000001,0.878137520820331,0.8781375208203309,0.9975,0.1194470205196892,0.11843266675158895,1.0,0.12017500000000003,
validation_selected_single_agent,0.860925,0.8802704220790174,0.8609249999999999,0.8591334307104197,0.8591334307104196,0.9737,0.11645137280113008,0.11230011810122774,1.0,0.13907499999999995,
