iteration,sample_bootstrap_macro_f1_delta,grouped_bootstrap_macro_f1_delta
0,0.017137173481915347,0.0029736152976050922
1,0.02324452128073151,0.0024226107757007176
2,0.021400435307654342,0.023200143496000636
3,0.019846839704010355,0.025332482278517587
4,0.01871970218425323,0.039055395958937034
5,0.0194988108081543,0.00519253185789692
6,0.02089307189138767,0.0028070401356952157
7,0.022031217609002174,0.019242024259395363
8,0.01934353696294855,0.003238572508350357
9,0.021794822454923035,0.020827273394623536
10,0.021101196353439988,0.003372037086262658
11,0.024200443677253825,0.021226515402807067
12,0.022180783679178973,0.03948611488341247
13,0.020673828410698314,0.019256000391560946
14,0.02091596621949743,0.01936271812624435
15,0.02101894683372041,0.002649454143347274
16,0.020997656948369414,0.0031444410101485465
17,0.020800624740491713,0.004371229280364819
18,0.01948877395254034,0.021226831887113384
19,0.02283236708769043,0.021842677327956528
20,0.02270845966373536,0.023303356191135438
21,0.025174231810682346,0.0005159738155748883
22,0.019499709521438424,0.01962955307887948
23,0.02330486997711434,0.03958231190980377
24,0.02165251548814029,0.03824726104343401
25,0.02291677605414133,0.00021653068703009204
26,0.024047111529883924,0.016506290659666578
27,0.02142260441760313,0.03934226095111093
28,0.01889243390328177,0.023205021014675697
29,0.020551997014813472,0.04643452782137003
30,0.021506405079884328,0.01913850400051298
31,0.02164729970967061,0.04083217584554566
32,0.021142667059584785,0.023668279594072694
33,0.022651536235426484,0.02337433393543986
34,0.020584628343287226,0.019360731425716038
35,0.020004661833928017,0.000775553551145558
36,0.019958317951124682,0.05118176003495656
37,0.02312130359019582,0.03999878565857884
38,0.020907836142731284,0.021157937517608638
39,0.021566903037960383,0.0068182157745421135
40,0.021008292992593658,0.024915754841449367
41,0.019642571436298106,0.00019800651729251495
42,0.01854558620217872,0.024686271075391786
43,0.021342150126465897,0.06431792159220384
44,0.02143454234561759,0.0799149555860642
45,0.01888522264553416,0.03228108768253091
46,0.01984398791851205,0.018683043802979915
47,0.019598699211794468,0.04667189405708738
48,0.023050264666282683,0.006872532891813221
49,0.023635149693574276,0.06631607954822949
50,0.02246505403311505,0.01918603687203413
51,0.022410952779210236,0.03804525768981126
52,0.02184067341542506,0.004801336218590357
53,0.019320202682830745,0.0025668464868652263
54,0.023301468507307854,0.0034238924390164183
55,0.021547722918424106,0.0505878028382829
56,0.023852913994244607,0.00271576435838794
57,0.021247233263060772,0.07829659577565495
58,0.02290343536556816,0.023439137152343803
59,0.02170563644514334,0.0026179183236247905
60,0.022600536041442965,0.0006000018000044127
61,0.020978385078326944,0.04405810781815045
62,0.022438221695103455,0.023795090080022563
63,0.021582138357365555,0.004834764998325913
64,0.022012763913899613,0.0005006872901673898
65,0.02142832798139893,0.03797986250609098
66,0.019514001990460828,0.00010773538762909318
67,0.021484884433025098,0.019223672238373846
68,0.021306798419407857,0.0063458566146719075
69,0.020645980334962233,0.02079298110836003
70,0.01931538194931448,0.01984681281216316
71,0.022837461840156115,0.02408632224389462
72,0.02008326215728773,0.019123967929133734
73,0.020626639470461616,0.019394705031994697
74,0.0236551585753364,0.004347171002390238
75,0.020987045206825594,0.02098394578201035
76,0.022387025543313954,0.021803533557568033
77,0.02294442561748189,0.036906929662127164
